T,1,1000,1000
V,1,1,11
V,1,2,37,1
V,1,3,25,2
V,1,4,1,3
V,1,5,45,4
V,1,6,4,5
T,2,2000,2000
V,2,1,48
V,2,2,32,1
V,2,3,138,2
V,2,4,4,3
V,2,5,25,4
V,2,6,2,5
V,2,7,4,6
V,2,8,5,7
V,2,9,32,8
T,3,5000,5000
V,3,1,425
V,3,2,158,1
V,3,3,15,2
V,3,4,49,3
V,3,5,57,4
V,3,6,73,5
V,3,7,391,6
V,3,8,40,7
V,3,9,36,8
V,3,10,105,9
T,4,5000,5000
V,4,1,19
V,4,2,52,1
V,4,3,91,2
V,4,4,2,3
V,4,5,11,4
V,4,6,41,5
T,5,5000,5000
V,5,1,3
V,5,2,2,1
V,5,3,7,2
V,5,4,1,3
V,5,5,2,4
V,5,6,1,5
V,5,7,1,6
V,5,8,1,7
V,5,9,2,8
T,6,10000,10000
V,6,1,25
V,6,2,49,1
V,6,3,183,2
V,6,4,5,3
V,6,5,22,4
T,7,10000,10000
V,7,1,192
V,7,2,635,1
V,7,3,81,2
V,7,4,846,3
V,7,5,143,4
V,7,6,398,5
V,7,7,372,6
V,7,8,229,7
T,8,10000,10000
V,8,1,192
V,8,2,147,1
V,8,3,9,2
V,8,4,121,3
V,8,5,85,4
T,9,10000,10000
V,9,1,464
V,9,2,777,1
V,9,3,513,2
V,9,4,220,3
V,9,5,130,4
T,10,10000,10000
V,10,1,15
V,10,2,49,1
V,10,3,138,2
V,10,4,221,3
V,10,5,99,4
V,10,6,90,5
T,11,10000,10000
V,11,1,1620
V,11,2,122,1
V,11,3,124,2
V,11,4,125,3
V,11,5,172,4
V,11,6,65,5
V,11,7,512,6
T,12,10000,10000
V,12,1,37
V,12,2,57,1
V,12,3,279,2
V,12,4,966,3
V,12,5,122,4
T,13,10000,10000
V,13,1,76
V,13,2,42,1
V,13,3,50,2
V,13,4,75,3
V,13,5,14,4
V,13,6,62,5
V,13,7,126,6
T,14,20000,20000
V,14,1,1568
V,14,2,102,1
V,14,3,87,2
V,14,4,29,3
V,14,5,30,4
V,14,6,145,5
V,14,7,50,6
T,15,20000,20000
V,15,1,421
V,15,2,158,1
V,15,3,856,2
V,15,4,85,3
V,15,5,32,4
V,15,6,1235,5
V,15,7,18,6
V,15,8,6,7
V,15,9,30,8
T,16,20000,20000
V,16,1,132
V,16,2,437,1
V,16,3,1062,2
V,16,4,213,3
V,16,5,89,4
V,16,6,607,5
V,16,7,3185,6
T,17,20000,20000
V,17,1,18
V,17,2,114,1
V,17,3,55,2
V,17,4,68,3
V,17,5,774,4
V,17,6,17,5
V,17,7,6,6
V,17,8,513,7
T,18,100000,100000
V,18,1,8745
V,18,2,4861,1
V,18,3,6761,2
V,18,4,1118,3
V,18,5,1867,4
V,18,6,968,5
V,18,7,1621,6
V,18,8,1422,7
V,18,9,3469,8
T,19,100000,100000
V,19,1,23656
V,19,2,14608,1
V,19,3,1978,2
V,19,4,8187,3
V,19,5,2178,4
V,19,6,15486,5
T,20,100000,100000
V,20,1,332
V,20,2,1801,1
V,20,3,46,2
V,20,4,2891,3
V,20,5,527,4
V,20,6,431,5
V,20,7,52,6
V,20,8,1461,7
T,21,100000,100000
V,21,1,527
V,21,2,104,1
V,21,3,46,2
V,21,4,2417,3
V,21,5,979,4
V,21,6,298,5
V,21,7,446,6
T,22,100000,100000
V,22,1,14847
V,22,2,9223,1
V,22,3,5275,2
V,22,4,10833,3
V,22,5,2242,4
T,23,100000,100000
V,23,1,11321
V,23,2,10788,1
V,23,3,2728,2
V,23,4,25438,3
V,23,5,9767,4
V,23,6,740,5
V,23,7,1145,6
V,23,8,24350,7
V,23,9,8663,8
T,24,100000,100000
V,24,1,167
V,24,2,2611,1
V,24,3,292,2
V,24,4,788,3
V,24,5,360,4
V,24,6,78,5
V,24,7,183,6
