T,1,2000,2000
V,1,1,206
V,1,2,161,1
V,1,3,29,2
V,1,4,401,3
V,1,5,374,4
V,1,6,115,5
V,1,7,72,6
V,1,8,176,7
V,1,9,22,8
T,2,10000,10000
V,2,1,30
V,2,2,15,1
V,2,3,24,2
V,2,4,22,3
V,2,5,73,4
V,2,6,1,5
V,2,7,123,6
T,3,10000,10000
V,3,1,858
V,3,2,3766,1
V,3,3,2215,2
V,3,4,198,3
V,3,5,147,4
V,3,6,7,5
V,3,7,261,6
V,3,8,2181,7
T,4,10000,10000
V,4,1,1068
V,4,2,137,1
V,4,3,1567,2
V,4,4,2771,3
V,4,5,339,4
V,4,6,1857,5
T,5,10000,10000
V,5,1,497
V,5,2,777,1
V,5,3,298,2
V,5,4,224,3
V,5,5,262,4
V,5,6,263,5
V,5,7,3173,6
T,6,10000,10000
V,6,1,238
V,6,2,414,1
V,6,3,414,2
V,6,4,563,3
V,6,5,110,4
V,6,6,990,5
V,6,7,26,6
V,6,8,13,7
T,7,10000,10000
V,7,1,84
V,7,2,459,1
V,7,3,440,2
V,7,4,12,3
V,7,5,52,4
V,7,6,371,5
T,8,20000,20000
V,8,1,33
V,8,2,147,1
V,8,3,111,2
V,8,4,532,3
V,8,5,1622,4
V,8,6,199,5
T,9,20000,20000
V,9,1,357
V,9,2,3468,1
V,9,3,2373,2
V,9,4,357,3
V,9,5,3013,4
V,9,6,1467,5
T,10,20000,20000
V,10,1,453
V,10,2,399,1
V,10,3,2121,2
V,10,4,98,3
V,10,5,701,4
V,10,6,1279,5
V,10,7,72,6
V,10,8,22,7
V,10,9,68,8
V,10,10,430,9
T,11,20000,20000
V,11,1,368
V,11,2,1828,1
V,11,3,1069,2
V,11,4,586,3
V,11,5,1561,4
V,11,6,412,5
V,11,7,1290,6
V,11,8,682,7
V,11,9,531,8
V,11,10,42,9
T,12,20000,20000
V,12,1,1471
V,12,2,146,1
V,12,3,543,2
V,12,4,410,3
V,12,5,631,4
V,12,6,79,5
V,12,7,2634,6
V,12,8,2,7
T,13,20000,20000
V,13,1,1160
V,13,2,645,1
V,13,3,933,2
V,13,4,921,3
V,13,5,3523,4
T,14,50000,50000
V,14,1,311
V,14,2,604,1
V,14,3,2256,2
V,14,4,2285,3
V,14,5,71,4
V,14,6,1838,5
T,15,50000,50000
V,15,1,2252
V,15,2,12834,1
V,15,3,4071,2
V,15,4,4882,3
V,15,5,2,4
V,15,6,546,5
V,15,7,535,6
V,15,8,2324,7
V,15,9,1716,8
V,15,10,627,9
T,16,100000,100000
V,16,1,2243
V,16,2,4402,1
V,16,3,1243,2
V,16,4,1564,3
V,16,5,1749,4
