T,1,10000,10000
V,1,1,16
V,1,2,138,1
V,1,3,521,2
V,1,4,348,3
V,1,5,506,4
T,2,10000,10000
V,2,1,33
V,2,2,3,1
V,2,3,6,2
V,2,4,25,3
V,2,5,25,4
V,2,6,24,5
V,2,7,43,6
V,2,8,29,7
V,2,9,8,8
T,3,10000,10000
V,3,1,31
V,3,2,629,1
V,3,3,123,2
V,3,4,235,3
V,3,5,906,4
T,4,20000,20000
V,4,1,820
V,4,2,153,1
V,4,3,279,2
V,4,4,32,3
V,4,5,716,4
V,4,6,184,5
V,4,7,367,6
V,4,8,1768,7
V,4,9,703,8
V,4,10,21,9
T,5,20000,20000
V,5,1,2110
V,5,2,1383,1
V,5,3,43,2
V,5,4,344,3
V,5,5,154,4
V,5,6,354,5
V,5,7,571,6
T,6,20000,20000
V,6,1,1718
V,6,2,4641,1
V,6,3,1849,2
V,6,4,1152,3
V,6,5,2707,4
V,6,6,2674,5
