T,1,10000,10000
V,1,1,29
V,1,2,10,1
V,1,3,18,2
V,1,4,11,3
V,1,5,24,4
V,1,6,8,5
V,1,7,2,6
V,1,8,3,7
V,1,9,1,8
V,1,10,7,9
T,2,10000,10000
V,2,1,1
V,2,2,48,1
V,2,3,60,2
V,2,4,5,3
V,2,5,246,4
V,2,6,106,5
V,2,7,163,6
V,2,8,31,7
T,3,10000,10000
V,3,1,259
V,3,2,104,1
V,3,3,31,2
V,3,4,35,3
V,3,5,414,4
V,3,6,687,5
V,3,7,772,6
T,4,20000,20000
V,4,1,456
V,4,2,42,1
V,4,3,184,2
V,4,4,48,3
V,4,5,810,4
T,5,50000,50000
V,5,1,191
V,5,2,61,1
V,5,3,800,2
V,5,4,2543,3
V,5,5,1752,4
V,5,6,10377,5
V,5,7,938,6
V,5,8,3897,7
T,6,100000,100000
V,6,1,35
V,6,2,6,1
V,6,3,198,2
V,6,4,3,3
V,6,5,15,4
V,6,6,20,5
V,6,7,63,6
V,6,8,109,7
V,6,9,43,8
V,6,10,116,9
