T,1,1000,1000
V,1,1,41
V,1,2,5,1
V,1,3,2,2
V,1,4,69,3
V,1,5,7,4
V,1,6,7,5
V,1,7,70,6
V,1,8,6,7
T,2,2000,2000
V,2,1,22
V,2,2,23,1
V,2,3,11,2
V,2,4,22,3
V,2,5,17,4
V,2,6,28,5
V,2,7,36,6
T,3,2000,2000
V,3,1,1
V,3,2,1,1
V,3,3,1,2
V,3,4,1,3
V,3,5,1,4
V,3,6,1,5
V,3,7,1,6
V,3,8,1,7
V,3,9,1,8
V,3,10,1,9
T,4,5000,5000
V,4,1,31
V,4,2,87,1
V,4,3,50,2
V,4,4,7,3
V,4,5,29,4
V,4,6,16,5
V,4,7,171,6
V,4,8,73,7
V,4,9,28,8
T,5,10000,10000
V,5,1,311
V,5,2,119,1
V,5,3,326,2
V,5,4,213,3
V,5,5,125,4
V,5,6,93,5
V,5,7,223,6
V,5,8,199,7
V,5,9,290,8
T,6,10000,10000
V,6,1,23
V,6,2,7,1
V,6,3,9,2
V,6,4,26,3
V,6,5,118,4
V,6,6,6,5
V,6,7,38,6
V,6,8,64,7
V,6,9,17,8
T,7,10000,10000
V,7,1,78
V,7,2,258,1
V,7,3,241,2
V,7,4,189,3
V,7,5,211,4
V,7,6,741,5
V,7,7,325,6
T,8,10000,10000
V,8,1,7
V,8,2,46,1
V,8,3,4,2
V,8,4,8,3
V,8,5,1,4
V,8,6,1,5
V,8,7,39,6
V,8,8,17,7
V,8,9,15,8
V,8,10,17,9
T,9,10000,10000
V,9,1,49
V,9,2,167,1
V,9,3,1,2
V,9,4,421,3
V,9,5,266,4
V,9,6,402,5
V,9,7,64,6
V,9,8,63,7
V,9,9,370,8
T,10,10000,10000
V,10,1,579
V,10,2,74,1
V,10,3,362,2
V,10,4,157,3
V,10,5,1242,4
V,10,6,924,5
V,10,7,38,6
V,10,8,588,7
T,11,10000,10000
V,11,1,219
V,11,2,401,1
V,11,3,752,2
V,11,4,31,3
V,11,5,249,4
V,11,6,115,5
T,12,10000,10000
V,12,1,90
V,12,2,296,1
V,12,3,333,2
V,12,4,1024,3
V,12,5,3,4
V,12,6,1675,5
T,13,10000,10000
V,13,1,147
V,13,2,147,1
V,13,3,59,2
V,13,4,129,3
V,13,5,36,4
V,13,6,160,5
V,13,7,6,6
V,13,8,214,7
T,14,20000,20000
V,14,1,2229
V,14,2,358,1
V,14,3,187,2
V,14,4,412,3
V,14,5,547,4
V,14,6,37,5
V,14,7,358,6
V,14,8,118,7
V,14,9,179,8
T,15,20000,20000
V,15,1,7
V,15,2,40,1
V,15,3,47,2
V,15,4,68,3
V,15,5,243,4
V,15,6,42,5
V,15,7,42,6
V,15,8,64,7
V,15,9,102,8
V,15,10,10,9
T,16,20000,20000
V,16,1,23
V,16,2,185,1
V,16,3,51,2
V,16,4,92,3
V,16,5,147,4
V,16,6,50,5
T,17,20000,20000
V,17,1,128
V,17,2,1014,1
V,17,3,306,2
V,17,4,34,3
V,17,5,394,4
T,18,20000,20000
V,18,1,681
V,18,2,237,1
V,18,3,901,2
V,18,4,303,3
V,18,5,418,4
V,18,6,1171,5
V,18,7,1191,6
V,18,8,895,7
V,18,9,2831,8
T,19,20000,20000
V,19,1,139
V,19,2,708,1
V,19,3,86,2
V,19,4,295,3
V,19,5,200,4
V,19,6,385,5
V,19,7,26,6
V,19,8,157,7
V,19,9,1367,8
T,20,20000,20000
V,20,1,146
V,20,2,157,1
V,20,3,47,2
V,20,4,73,3
V,20,5,32,4
V,20,6,13,5
V,20,7,320,6
V,20,8,2039,7
V,20,9,537,8
T,21,20000,20000
V,21,1,131
V,21,2,7534,1
V,21,3,4638,2
V,21,4,238,3
V,21,5,1017,4
V,21,6,468,5
V,21,7,3392,6
V,21,8,1082,7
T,22,50000,50000
V,22,1,2702
V,22,2,3872,1
V,22,3,2360,2
V,22,4,1597,3
V,22,5,335,4
V,22,6,1371,5
V,22,7,87,6
V,22,8,1597,7
V,22,9,924,8
V,22,10,1046,9
T,23,50000,50000
V,23,1,1605
V,23,2,1393,1
V,23,3,749,2
V,23,4,2847,3
V,23,5,762,4
V,23,6,1813,5
T,24,50000,50000
V,24,1,6604
V,24,2,2547,1
V,24,3,1410,2
V,24,4,350,3
V,24,5,10754,4
T,25,100000,100000
V,25,1,2391
V,25,2,12150,1
V,25,3,3627,2
V,25,4,324,3
V,25,5,1118,4
V,25,6,685,5
V,25,7,1836,6
V,25,8,4021,7
T,26,100000,100000
V,26,1,247
V,26,2,333,1
V,26,3,145,2
V,26,4,94,3
V,26,5,354,4
V,26,6,403,5
V,26,7,62,6
V,26,8,249,7
V,26,9,195,8
T,27,100000,100000
V,27,1,2082
V,27,2,2208,1
V,27,3,13187,2
V,27,4,186,3
V,27,5,2064,4
V,27,6,3696,5
V,27,7,897,6
V,27,8,7480,7
V,27,9,1643,8
T,28,100000,100000
V,28,1,2148
V,28,2,573,1
V,28,3,6716,2
V,28,4,14150,3
V,28,5,7747,4
V,28,6,1551,5
V,28,7,3161,6
V,28,8,8605,7
V,28,9,13323,8
V,28,10,3968,9
T,29,100000,100000
V,29,1,593
V,29,2,5338,1
V,29,3,83,2
V,29,4,288,3
V,29,5,691,4
V,29,6,1186,5
T,30,100000,100000
V,30,1,262
V,30,2,1747,1
V,30,3,908,2
V,30,4,493,3
V,30,5,125,4
T,31,100000,100000
V,31,1,779
V,31,2,14,1
V,31,3,500,2
V,31,4,56,3
V,31,5,282,4
V,31,6,860,5
V,31,7,144,6
V,31,8,145,7
T,32,100000,100000
V,32,1,160
V,32,2,328,1
V,32,3,41,2
V,32,4,287,3
V,32,5,92,4
V,32,6,161,5
V,32,7,388,6
V,32,8,36,7
V,32,9,261,8
V,32,10,217,9
