T,1,10000,10000
V,1,1,370
V,1,2,53,1
V,1,3,399,2
V,1,4,82,3
V,1,5,190,4
T,2,10000,10000
V,2,1,95
V,2,2,1098,1
V,2,3,355,2
V,2,4,426,3
V,2,5,417,4
V,2,6,207,5
T,3,10000,10000
V,3,1,159
V,3,2,130,1
V,3,3,50,2
V,3,4,159,3
V,3,5,22,4
V,3,6,81,5
T,4,10000,10000
V,4,1,721
V,4,2,289,1
V,4,3,1731,2
V,4,4,1784,3
V,4,5,1556,4
V,4,6,293,5
V,4,7,146,6
T,5,10000,10000
V,5,1,1
V,5,2,1,1
V,5,3,1,2
V,5,4,1,3
V,5,5,1,4
V,5,6,1,5
V,5,7,1,6
V,5,8,1,7
T,6,10000,10000
V,6,1,365
V,6,2,1962,1
V,6,3,875,2
V,6,4,212,3
V,6,5,416,4
V,6,6,4902,5
V,6,7,457,6
T,7,20000,20000
V,7,1,873
V,7,2,3820,1
V,7,3,1473,2
V,7,4,547,3
V,7,5,996,4
V,7,6,2293,5
V,7,7,2406,6
T,8,20000,20000
V,8,1,720
V,8,2,826,1
V,8,3,1045,2
V,8,4,1915,3
V,8,5,572,4
V,8,6,1307,5
T,9,20000,20000
V,9,1,516
V,9,2,216,1
V,9,3,332,2
V,9,4,780,3
V,9,5,577,4
T,10,20000,20000
V,10,1,1229
V,10,2,261,1
V,10,3,693,2
V,10,4,132,3
V,10,5,407,4
V,10,6,1093,5
V,10,7,243,6
V,10,8,243,7
V,10,9,1166,8
V,10,10,1479,9
T,11,50000,50000
V,11,1,6727
V,11,2,6306,1
V,11,3,485,2
V,11,4,1897,3
V,11,5,3840,4
T,12,100000,100000
V,12,1,3488
V,12,2,2431,1
V,12,3,1518,2
V,12,4,723,3
V,12,5,2527,4
V,12,6,538,5
V,12,7,399,6
V,12,8,5277,7
V,12,9,3936,8
V,12,10,62,9
