T,1,1000,1000
V,1,1,3
V,1,2,3,1
V,1,3,13,2
V,1,4,1,3
V,1,5,7,4
T,2,10000,10000
V,2,1,67
V,2,2,131,1
V,2,3,227,2
V,2,4,89,3
V,2,5,477,4
V,2,6,41,5
T,3,10000,10000
V,3,1,32
V,3,2,8,1
V,3,3,42,2
V,3,4,7,3
V,3,5,3,4
V,3,6,25,5
V,3,7,23,6
T,4,10000,10000
V,4,1,5
V,4,2,1,1
V,4,3,1,2
V,4,4,2,3
V,4,5,1,4
V,4,6,2,5
V,4,7,2,6
T,5,10000,10000
V,5,1,3
V,5,2,9,1
V,5,3,2,2
V,5,4,10,3
V,5,5,90,4
V,5,6,33,5
V,5,7,31,6
T,6,10000,10000
V,6,1,5
V,6,2,152,1
V,6,3,521,2
V,6,4,898,3
V,6,5,208,4
V,6,6,407,5
V,6,7,392,6
T,7,20000,20000
V,7,1,148
V,7,2,20,1
V,7,3,115,2
V,7,4,73,3
V,7,5,75,4
V,7,6,1,5
T,8,20000,20000
V,8,1,527
V,8,2,446,1
V,8,3,216,2
V,8,4,84,3
V,8,5,94,4
V,8,6,1276,5
V,8,7,111,6
V,8,8,52,7
T,9,20000,20000
V,9,1,6
V,9,2,69,1
V,9,3,136,2
V,9,4,98,3
V,9,5,5,4
V,9,6,12,5
V,9,7,8,6
V,9,8,91,7
V,9,9,38,8
V,9,10,26,9
T,10,20000,20000
V,10,1,4
V,10,2,5,1
V,10,3,23,2
V,10,4,124,3
V,10,5,145,4
V,10,6,47,5
T,11,20000,20000
V,11,1,207
V,11,2,266,1
V,11,3,92,2
V,11,4,78,3
V,11,5,75,4
V,11,6,218,5
T,12,50000,50000
V,12,1,100
V,12,2,1016,1
V,12,3,693,2
V,12,4,134,3
V,12,5,124,4
V,12,6,319,5
V,12,7,177,6
V,12,8,529,7
T,13,100000,100000
V,13,1,8155
V,13,2,5156,1
V,13,3,4654,2
V,13,4,1168,3
V,13,5,34223,4
V,13,6,13740,5
T,14,100000,100000
V,14,1,299
V,14,2,72,1
V,14,3,768,2
V,14,4,48,3
V,14,5,516,4
V,14,6,294,5
V,14,7,651,6
V,14,8,221,7
T,15,100000,100000
V,15,1,1558
V,15,2,4873,1
V,15,3,1831,2
V,15,4,1000,3
V,15,5,491,4
V,15,6,1197,5
V,15,7,480,6
V,15,8,3913,7
V,15,9,189,8
V,15,10,1402,9
T,16,200000,200000
V,16,1,28
V,16,2,9,1
V,16,3,2,2
V,16,4,90,3
V,16,5,15,4
V,16,6,5,5
V,16,7,17,6
V,16,8,179,7
V,16,9,63,8
V,16,10,54,9
