T,1,20000,20000
V,1,1,1207
V,1,2,131,1
V,1,3,1936,2
V,1,4,302,3
V,1,5,763,4
V,1,6,1978,5
V,1,7,87,6
V,1,8,290,7
V,1,9,2897,8
T,2,20000,20000
V,2,1,1846
V,2,2,1588,1
V,2,3,257,2
V,2,4,346,3
V,2,5,706,4
V,2,6,3514,5
T,3,20000,20000
V,3,1,2332
V,3,2,1218,1
V,3,3,469,2
V,3,4,2310,3
V,3,5,2346,4
V,3,6,2637,5
V,3,7,1766,6
V,3,8,3608,7
V,3,9,938,8
V,3,10,436,9
T,4,100000,100000
V,4,1,6512
V,4,2,10093,1
V,4,3,18809,2
V,4,4,7390,3
V,4,5,17346,4
V,4,6,9278,5
V,4,7,2040,6
V,4,8,7255,7
V,4,9,75,8
T,5,100000,100000
V,5,1,39020
V,5,2,12031,1
V,5,3,3305,2
V,5,4,3368,3
V,5,5,2136,4
V,5,6,9610,5
T,6,1000000,1000000
V,6,1,1042
V,6,2,10327,1
V,6,3,34603,2
V,6,4,18677,3
V,6,5,167349,4
V,6,6,15901,5
V,6,7,74831,6
