T,1,20000,20000
V,1,1,1495
V,1,2,1693,1
V,1,3,6227,2
V,1,4,1546,3
V,1,5,308,4
V,1,6,2433,5
V,1,7,4272,6
T,2,20000,20000
V,2,1,2022
V,2,2,11412,1
V,2,3,1694,2
V,2,4,1549,3
V,2,5,18,4
T,3,20000,20000
V,3,1,337
V,3,2,2912,1
V,3,3,5835,2
V,3,4,1493,3
V,3,5,1014,4
V,3,6,433,5
V,3,7,3347,6
V,3,8,1710,7
T,4,20000,20000
V,4,1,170
V,4,2,24,1
V,4,3,18,2
V,4,4,5,3
V,4,5,180,4
V,4,6,151,5
V,4,7,45,6
T,5,20000,20000
V,5,1,76
V,5,2,682,1
V,5,3,707,2
V,5,4,502,3
V,5,5,1491,4
V,5,6,446,5
V,5,7,6176,6
V,5,8,1176,7
V,5,9,1039,8
V,5,10,1323,9
T,6,100000,100000
V,6,1,3300
V,6,2,703,1
V,6,3,4718,2
V,6,4,14645,3
V,6,5,224,4
V,6,6,6708,5
