T,1,2000,2000
V,1,1,42
V,1,2,327,1
V,1,3,54,2
V,1,4,109,3
V,1,5,603,4
V,1,6,280,5
T,2,10000,10000
V,2,1,796
V,2,2,333,1
V,2,3,202,2
V,2,4,130,3
V,2,5,528,4
V,2,6,217,5
V,2,7,420,6
V,2,8,117,7
V,2,9,161,8
V,2,10,522,9
T,3,10000,10000
V,3,1,1656
V,3,2,592,1
V,3,3,2713,2
V,3,4,1221,3
V,3,5,2426,4
T,4,10000,10000
V,4,1,337
V,4,2,56,1
V,4,3,839,2
V,4,4,816,3
V,4,5,36,4
V,4,6,2338,5
V,4,7,854,6
T,5,20000,20000
V,5,1,6
V,5,2,35,1
V,5,3,38,2
V,5,4,286,3
V,5,5,26,4
V,5,6,8,5
V,5,7,94,6
V,5,8,156,7
V,5,9,142,8
T,6,20000,20000
V,6,1,130
V,6,2,496,1
V,6,3,391,2
V,6,4,7,3
V,6,5,24,4
T,7,20000,20000
V,7,1,272
V,7,2,203,1
V,7,3,413,2
V,7,4,356,3
V,7,5,66,4
V,7,6,804,5
V,7,7,71,6
T,8,50000,50000
V,8,1,3289
V,8,2,617,1
V,8,3,1937,2
V,8,4,6695,3
V,8,5,1325,4
V,8,6,853,5
V,8,7,2092,6
V,8,8,4261,7
V,8,9,619,8
V,8,10,2912,9
T,9,100000,100000
V,9,1,927
V,9,2,3621,1
V,9,3,19369,2
V,9,4,375,3
V,9,5,6661,4
V,9,6,2074,5
V,9,7,37722,6
V,9,8,3899,7
V,9,9,3789,8
V,9,10,2208,9
T,10,100000,100000
V,10,1,13288
V,10,2,35692,1
V,10,3,9586,2
V,10,4,4103,3
V,10,5,11374,4
T,11,100000,100000
V,11,1,850
V,11,2,92,1
V,11,3,612,2
V,11,4,1017,3
V,11,5,1274,4
V,11,6,221,5
V,11,7,2325,6
V,11,8,691,7
V,11,9,1244,8
T,12,100000,100000
V,12,1,852
V,12,2,529,1
V,12,3,31,2
V,12,4,1189,3
V,12,5,1196,4
V,12,6,366,5
