T,1,10000,10000
V,1,1,106
V,1,2,4,1
V,1,3,93,2
V,1,4,90,3
V,1,5,287,4
V,1,6,1,5
V,1,7,91,6
V,1,8,74,7
V,1,9,114,8
V,1,10,413,9
T,2,10000,10000
V,2,1,20
V,2,2,31,1
V,2,3,20,2
V,2,4,8,3
V,2,5,3,4
V,2,6,36,5
T,3,10000,10000
V,3,1,94
V,3,2,745,1
V,3,3,924,2
V,3,4,526,3
V,3,5,23,4
V,3,6,725,5
V,3,7,51,6
T,4,10000,10000
V,4,1,6
V,4,2,3,1
V,4,3,6,2
V,4,4,1,3
V,4,5,4,4
V,4,6,11,5
V,4,7,4,6
V,4,8,15,7
V,4,9,10,8
T,5,10000,10000
V,5,1,245
V,5,2,289,1
V,5,3,270,2
V,5,4,400,3
V,5,5,733,4
V,5,6,959,5
T,6,20000,20000
V,6,1,89
V,6,2,2406,1
V,6,3,1058,2
V,6,4,5101,3
V,6,5,723,4
V,6,6,1097,5
V,6,7,4432,6
V,6,8,4487,7
V,6,9,208,8
T,7,20000,20000
V,7,1,3173
V,7,2,1138,1
V,7,3,1980,2
V,7,4,251,3
V,7,5,1939,4
V,7,6,791,5
V,7,7,307,6
V,7,8,790,7
V,7,9,1712,8
T,8,50000,50000
V,8,1,866
V,8,2,1501,1
V,8,3,2066,2
V,8,4,1439,3
V,8,5,701,4
T,9,100000,100000
V,9,1,3719
V,9,2,9327,1
V,9,3,31215,2
V,9,4,1709,3
V,9,5,25827,4
V,9,6,377,5
V,9,7,8850,6
V,9,8,12370,7
T,10,100000,100000
V,10,1,2769
V,10,2,3092,1
V,10,3,7982,2
V,10,4,10745,3
V,10,5,5277,4
V,10,6,8672,5
V,10,7,1925,6
V,10,8,2663,7
V,10,9,4199,8
T,11,100000,100000
V,11,1,3126
V,11,2,15,1
V,11,3,6848,2
V,11,4,3931,3
V,11,5,4241,4
V,11,6,2715,5
V,11,7,1421,6
V,11,8,143,7
T,12,200000,200000
V,12,1,28846
V,12,2,26291,1
V,12,3,44139,2
V,12,4,18749,3
V,12,5,74,4
V,12,6,17287,5
V,12,7,953,6
V,12,8,2604,7
V,12,9,1244,8
V,12,10,2311,9
