T,1,10000,10000
V,1,1,1
V,1,2,2,1
V,1,3,8,2
V,1,4,4,3
V,1,5,1,4
V,1,6,1,5
V,1,7,11,6
V,1,8,3,7
V,1,9,1,8
V,1,10,3,9
T,2,10000,10000
V,2,1,50
V,2,2,18,1
V,2,3,47,2
V,2,4,3,3
V,2,5,54,4
V,2,6,31,5
V,2,7,10,6
V,2,8,4,7
V,2,9,3,8
V,2,10,8,9
T,3,20000,20000
V,3,1,143
V,3,2,31,1
V,3,3,410,2
V,3,4,150,3
V,3,5,251,4
V,3,6,284,5
V,3,7,100,6
V,3,8,60,7
T,4,20000,20000
V,4,1,75
V,4,2,33,1
V,4,3,8,2
V,4,4,50,3
V,4,5,13,4
V,4,6,18,5
T,5,20000,20000
V,5,1,84
V,5,2,104,1
V,5,3,394,2
V,5,4,83,3
V,5,5,154,4
V,5,6,9,5
V,5,7,36,6
T,6,100000,100000
V,6,1,719
V,6,2,1203,1
V,6,3,2106,2
V,6,4,401,3
V,6,5,269,4
V,6,6,391,5
