T,1,2000,2000
V,1,1,13
V,1,2,27,1
V,1,3,18,2
V,1,4,2,3
V,1,5,11,4
V,1,6,1,5
V,1,7,20,6
T,2,5000,5000
V,2,1,8
V,2,2,2,1
V,2,3,3,2
V,2,4,6,3
V,2,5,4,4
V,2,6,2,5
V,2,7,20,6
V,2,8,5,7
T,3,10000,10000
V,3,1,19
V,3,2,100,1
V,3,3,219,2
V,3,4,209,3
V,3,5,85,4
V,3,6,40,5
V,3,7,30,6
V,3,8,14,7
V,3,9,20,8
V,3,10,116,9
T,4,20000,20000
V,4,1,14
V,4,2,58,1
V,4,3,39,2
V,4,4,6,3
V,4,5,86,4
V,4,6,74,5
V,4,7,11,6
V,4,8,146,7
V,4,9,32,8
T,5,20000,20000
V,5,1,51
V,5,2,47,1
V,5,3,614,2
V,5,4,637,3
V,5,5,339,4
V,5,6,1712,5
V,5,7,193,6
T,6,100000,100000
V,6,1,873
V,6,2,3719,1
V,6,3,3120,2
V,6,4,14117,3
V,6,5,23443,4
T,7,100000,100000
V,7,1,13967
V,7,2,2978,1
V,7,3,1444,2
V,7,4,3848,3
V,7,5,6541,4
V,7,6,1433,5
T,8,100000,100000
V,8,1,1940
V,8,2,101,1
V,8,3,565,2
V,8,4,365,3
V,8,5,1126,4
V,8,6,791,5
V,8,7,187,6
V,8,8,94,7
T,9,100000,100000
V,9,1,5564
V,9,2,4847,1
V,9,3,2351,2
V,9,4,3508,3
V,9,5,3525,4
V,9,6,6456,5
V,9,7,1274,6
V,9,8,497,7
V,9,9,824,8
T,10,100000,100000
V,10,1,1808
V,10,2,1789,1
V,10,3,1556,2
V,10,4,714,3
V,10,5,2652,4
V,10,6,537,5
V,10,7,242,6
V,10,8,1825,7
V,10,9,750,8
V,10,10,11,9
T,11,200000,200000
V,11,1,337
V,11,2,112,1
V,11,3,69,2
V,11,4,2002,3
V,11,5,849,4
V,11,6,1099,5
V,11,7,87,6
V,11,8,57,7
V,11,9,390,8
T,12,200000,200000
V,12,1,509
V,12,2,612,1
V,12,3,809,2
V,12,4,309,3
V,12,5,1539,4
V,12,6,502,5
