T,1,5000,5000
V,1,1,2
V,1,2,126,1
V,1,3,89,2
V,1,4,80,3
V,1,5,49,4
V,1,6,16,5
V,1,7,10,6
V,1,8,43,7
V,1,9,140,8
T,2,10000,10000
V,2,1,33
V,2,2,350,1
V,2,3,413,2
V,2,4,170,3
V,2,5,255,4
V,2,6,155,5
V,2,7,74,6
V,2,8,127,7
T,3,10000,10000
V,3,1,90
V,3,2,53,1
V,3,3,10,2
V,3,4,25,3
V,3,5,29,4
V,3,6,20,5
T,4,10000,10000
V,4,1,6
V,4,2,2,1
V,4,3,45,2
V,4,4,35,3
V,4,5,26,4
V,4,6,2,5
V,4,7,68,6
T,5,10000,10000
V,5,1,22
V,5,2,167,1
V,5,3,16,2
V,5,4,10,3
V,5,5,412,4
V,5,6,145,5
V,5,7,124,6
V,5,8,90,7
V,5,9,36,8
T,6,20000,20000
V,6,1,38
V,6,2,97,1
V,6,3,6,2
V,6,4,11,3
V,6,5,7,4
V,6,6,70,5
V,6,7,16,6
V,6,8,7,7
V,6,9,2,8
V,6,10,10,9
T,7,20000,20000
V,7,1,1891
V,7,2,145,1
V,7,3,232,2
V,7,4,1215,3
V,7,5,587,4
V,7,6,998,5
V,7,7,143,6
V,7,8,145,7
V,7,9,408,8
T,8,20000,20000
V,8,1,1714
V,8,2,507,1
V,8,3,134,2
V,8,4,661,3
V,8,5,922,4
V,8,6,558,5
V,8,7,442,6
V,8,8,164,7
V,8,9,53,8
V,8,10,72,9
T,9,50000,50000
V,9,1,1108
V,9,2,1737,1
V,9,3,3981,2
V,9,4,2239,3
V,9,5,170,4
V,9,6,1966,5
V,9,7,2480,6
V,9,8,1566,7
T,10,100000,100000
V,10,1,3366
V,10,2,6797,1
V,10,3,2148,2
V,10,4,1549,3
V,10,5,13060,4
T,11,100000,100000
V,11,1,133
V,11,2,82,1
V,11,3,121,2
V,11,4,822,3
V,11,5,2137,4
V,11,6,1403,5
T,12,200000,200000
V,12,1,571
V,12,2,113,1
V,12,3,180,2
V,12,4,38,3
V,12,5,119,4
V,12,6,496,5
V,12,7,42,6
