T,1,1000,1000
V,1,1,6
V,1,2,7,1
V,1,3,11,2
V,1,4,3,3
V,1,5,25,4
V,1,6,17,5
V,1,7,1,6
V,1,8,13,7
V,1,9,8,8
T,2,5000,5000
V,2,1,33
V,2,2,7,1
V,2,3,83,2
V,2,4,66,3
V,2,5,1,4
V,2,6,5,5
V,2,7,32,6
T,3,10000,10000
V,3,1,3
V,3,2,23,1
V,3,3,39,2
V,3,4,65,3
V,3,5,65,4
V,3,6,45,5
V,3,7,77,6
T,4,10000,10000
V,4,1,19
V,4,2,70,1
V,4,3,13,2
V,4,4,10,3
V,4,5,36,4
V,4,6,78,5
V,4,7,104,6
V,4,8,34,7
T,5,10000,10000
V,5,1,183
V,5,2,8,1
V,5,3,91,2
V,5,4,32,3
V,5,5,99,4
V,5,6,14,5
T,6,10000,10000
V,6,1,57
V,6,2,160,1
V,6,3,292,2
V,6,4,8,3
V,6,5,293,4
V,6,6,47,5
V,6,7,171,6
V,6,8,156,7
T,7,10000,10000
V,7,1,34
V,7,2,213,1
V,7,3,50,2
V,7,4,45,3
V,7,5,36,4
T,8,10000,10000
V,8,1,307
V,8,2,32,1
V,8,3,581,2
V,8,4,51,3
V,8,5,281,4
V,8,6,42,5
V,8,7,10,6
T,9,20000,20000
V,9,1,3
V,9,2,22,1
V,9,3,2,2
V,9,4,21,3
V,9,5,9,4
T,10,20000,20000
V,10,1,247
V,10,2,138,1
V,10,3,142,2
V,10,4,59,3
V,10,5,23,4
V,10,6,273,5
T,11,20000,20000
V,11,1,28
V,11,2,35,1
V,11,3,30,2
V,11,4,12,3
V,11,5,85,4
V,11,6,129,5
V,11,7,35,6
V,11,8,212,7
V,11,9,7,8
T,12,20000,20000
V,12,1,1052
V,12,2,310,1
V,12,3,1391,2
V,12,4,690,3
V,12,5,91,4
T,13,20000,20000
V,13,1,8
V,13,2,106,1
V,13,3,27,2
V,13,4,3,3
V,13,5,4,4
V,13,6,370,5
T,14,20000,20000
V,14,1,80
V,14,2,67,1
V,14,3,84,2
V,14,4,7,3
V,14,5,14,4
T,15,50000,50000
V,15,1,14
V,15,2,98,1
V,15,3,18,2
V,15,4,51,3
V,15,5,113,4
V,15,6,122,5
V,15,7,59,6
V,15,8,70,7
V,15,9,42,8
T,16,100000,100000
V,16,1,65
V,16,2,281,1
V,16,3,1090,2
V,16,4,283,3
V,16,5,595,4
V,16,6,14,5
V,16,7,76,6
V,16,8,288,7
V,16,9,52,8
T,17,100000,100000
V,17,1,31
V,17,2,776,1
V,17,3,107,2
V,17,4,45,3
V,17,5,168,4
V,17,6,949,5
V,17,7,153,6
T,18,100000,100000
V,18,1,784
V,18,2,148,1
V,18,3,232,2
V,18,4,1805,3
V,18,5,2656,4
V,18,6,222,5
V,18,7,1765,6
V,18,8,794,7
T,19,100000,100000
V,19,1,7944
V,19,2,5195,1
V,19,3,502,2
V,19,4,378,3
V,19,5,590,4
V,19,6,275,5
V,19,7,265,6
T,20,100000,100000
V,20,1,1044
V,20,2,2069,1
V,20,3,2823,2
V,20,4,957,3
V,20,5,865,4
V,20,6,189,5
T,21,100000,100000
V,21,1,1787
V,21,2,1193,1
V,21,3,2298,2
V,21,4,4330,3
V,21,5,513,4
V,21,6,1503,5
T,22,100000,100000
V,22,1,411
V,22,2,1036,1
V,22,3,355,2
V,22,4,1049,3
V,22,5,701,4
V,22,6,1201,5
T,23,100000,100000
V,23,1,185
V,23,2,22,1
V,23,3,2183,2
V,23,4,458,3
V,23,5,430,4
V,23,6,3570,5
T,24,100000,100000
V,24,1,3651
V,24,2,7818,1
V,24,3,15,2
V,24,4,920,3
V,24,5,5350,4
