T,1,5000,5000
V,1,1,579
V,1,2,340,1
V,1,3,23,2
V,1,4,1157,3
V,1,5,356,4
V,1,6,264,5
V,1,7,7,6
V,1,8,119,7
V,1,9,283,8
T,2,5000,5000
V,2,1,131
V,2,2,182,1
V,2,3,64,2
V,2,4,93,3
V,2,5,222,4
V,2,6,88,5
T,3,10000,10000
V,3,1,663
V,3,2,803,1
V,3,3,356,2
V,3,4,203,3
V,3,5,1056,4
T,4,10000,10000
V,4,1,214
V,4,2,603,1
V,4,3,277,2
V,4,4,1105,3
V,4,5,161,4
V,4,6,317,5
V,4,7,42,6
V,4,8,301,7
V,4,9,240,8
V,4,10,158,9
T,5,10000,10000
V,5,1,1253
V,5,2,892,1
V,5,3,209,2
V,5,4,430,3
V,5,5,256,4
V,5,6,780,5
V,5,7,505,6
V,5,8,291,7
T,6,20000,20000
V,6,1,1785
V,6,2,1156,1
V,6,3,710,2
V,6,4,1669,3
V,6,5,67,4
V,6,6,1757,5
V,6,7,397,6
V,6,8,828,7
V,6,9,492,8
V,6,10,918,9
T,7,20000,20000
V,7,1,1976
V,7,2,443,1
V,7,3,9,2
V,7,4,3057,3
V,7,5,583,4
V,7,6,1540,5
V,7,7,1553,6
V,7,8,3014,7
V,7,9,480,8
T,8,20000,20000
V,8,1,743
V,8,2,2044,1
V,8,3,2559,2
V,8,4,410,3
V,8,5,109,4
V,8,6,8037,5
V,8,7,55,6
V,8,8,4564,7
V,8,9,864,8
V,8,10,198,9
T,9,20000,20000
V,9,1,195
V,9,2,239,1
V,9,3,96,2
V,9,4,754,3
V,9,5,88,4
V,9,6,2986,5
V,9,7,1123,6
T,10,20000,20000
V,10,1,3199
V,10,2,1290,1
V,10,3,180,2
V,10,4,132,3
V,10,5,2161,4
V,10,6,9217,5
T,11,20000,20000
V,11,1,52
V,11,2,18,1
V,11,3,14,2
V,11,4,4,3
V,11,5,26,4
V,11,6,650,5
V,11,7,5,6
V,11,8,55,7
V,11,9,5,8
V,11,10,115,9
T,12,20000,20000
V,12,1,594
V,12,2,736,1
V,12,3,2043,2
V,12,4,39,3
V,12,5,3185,4
V,12,6,979,5
V,12,7,1522,6
V,12,8,8044,7
T,13,20000,20000
V,13,1,1558
V,13,2,500,1
V,13,3,330,2
V,13,4,1692,3
V,13,5,2259,4
V,13,6,4103,5
V,13,7,124,6
V,13,8,970,7
T,14,20000,20000
V,14,1,2270
V,14,2,202,1
V,14,3,2520,2
V,14,4,2026,3
V,14,5,1234,4
V,14,6,1476,5
T,15,20000,20000
V,15,1,1055
V,15,2,423,1
V,15,3,334,2
V,15,4,483,3
V,15,5,121,4
T,16,50000,50000
V,16,1,20416
V,16,2,2225,1
V,16,3,4890,2
V,16,4,1268,3
V,16,5,346,4
T,17,100000,100000
V,17,1,2218
V,17,2,5139,1
V,17,3,3982,2
V,17,4,59663,3
V,17,5,14358,4
V,17,6,418,5
V,17,7,326,6
V,17,8,84,7
T,18,100000,100000
V,18,1,467
V,18,2,8095,1
V,18,3,50,2
V,18,4,30264,3
V,18,5,34992,4
T,19,100000,100000
V,19,1,19682
V,19,2,11040,1
V,19,3,12227,2
V,19,4,6320,3
V,19,5,6344,4
V,19,6,3196,5
V,19,7,4528,6
V,19,8,2933,7
V,19,9,18160,8
T,20,100000,100000
V,20,1,14184
V,20,2,23782,1
V,20,3,8209,2
V,20,4,6241,3
V,20,5,20616,4
V,20,6,10620,5
V,20,7,3558,6
T,21,100000,100000
V,21,1,238
V,21,2,572,1
V,21,3,30168,2
V,21,4,959,3
V,21,5,46888,4
T,22,1000000,1000000
V,22,1,11802
V,22,2,12054,1
V,22,3,9928,2
V,22,4,689,3
V,22,5,13215,4
V,22,6,3676,5
V,22,7,24069,6
V,22,8,6136,7
V,22,9,3551,8
V,22,10,10931,9
T,23,1000000,1000000
V,23,1,3369
V,23,2,102113,1
V,23,3,174990,2
V,23,4,96067,3
V,23,5,69744,4
T,24,1000000,1000000
V,24,1,11898
V,24,2,16758,1
V,24,3,6885,2
V,24,4,59494,3
V,24,5,119184,4
V,24,6,6087,5
V,24,7,171524,6
V,24,8,17704,7
