T,1,1000,1000
V,1,1,45
V,1,2,20,1
V,1,3,12,2
V,1,4,48,3
V,1,5,9,4
V,1,6,36,5
V,1,7,20,6
V,1,8,50,7
T,2,1000,1000
V,2,1,5
V,2,2,3,1
V,2,3,7,2
V,2,4,2,3
V,2,5,5,4
V,2,6,2,5
V,2,7,5,6
V,2,8,4,7
V,2,9,1,8
V,2,10,7,9
T,3,1000,1000
V,3,1,15
V,3,2,219,1
V,3,3,68,2
V,3,4,27,3
V,3,5,128,4
V,3,6,61,5
V,3,7,81,6
V,3,8,97,7
T,4,5000,5000
V,4,1,6
V,4,2,6,1
V,4,3,4,2
V,4,4,27,3
V,4,5,5,4
V,4,6,6,5
V,4,7,1,6
V,4,8,12,7
T,5,10000,10000
V,5,1,317
V,5,2,143,1
V,5,3,454,2
V,5,4,99,3
V,5,5,1097,4
V,5,6,738,5
V,5,7,404,6
V,5,8,174,7
V,5,9,812,8
V,5,10,142,9
T,6,10000,10000
V,6,1,31
V,6,2,3026,1
V,6,3,1766,2
V,6,4,284,3
V,6,5,2754,4
V,6,6,206,5
T,7,10000,10000
V,7,1,263
V,7,2,364,1
V,7,3,1022,2
V,7,4,723,3
V,7,5,3106,4
V,7,6,65,5
V,7,7,36,6
V,7,8,847,7
T,8,10000,10000
V,8,1,45
V,8,2,1860,1
V,8,3,1362,2
V,8,4,224,3
V,8,5,237,4
V,8,6,66,5
V,8,7,543,6
V,8,8,69,7
V,8,9,1425,8
V,8,10,1222,9
T,9,10000,10000
V,9,1,264
V,9,2,258,1
V,9,3,16,2
V,9,4,327,3
V,9,5,28,4
T,10,10000,10000
V,10,1,1176
V,10,2,1820,1
V,10,3,268,2
V,10,4,1985,3
V,10,5,2008,4
V,10,6,1235,5
T,11,10000,10000
V,11,1,1229
V,11,2,1119,1
V,11,3,2045,2
V,11,4,72,3
V,11,5,690,4
V,11,6,645,5
V,11,7,1139,6
V,11,8,19,7
V,11,9,924,8
T,12,10000,10000
V,12,1,158
V,12,2,225,1
