T,1,1000,1000
V,1,1,3
V,1,2,1,1
V,1,3,27,2
V,1,4,16,3
V,1,5,5,4
V,1,6,4,5
V,1,7,5,6
V,1,8,8,7
V,1,9,10,8
T,2,2000,2000
V,2,1,34
V,2,2,928,1
V,2,3,355,2
V,2,4,121,3
V,2,5,129,4
V,2,6,374,5
T,3,5000,5000
V,3,1,599
V,3,2,1348,1
V,3,3,331,2
V,3,4,702,3
V,3,5,112,4
V,3,6,445,5
V,3,7,129,6
V,3,8,90,7
T,4,5000,5000
V,4,1,3
V,4,2,101,1
V,4,3,7,2
V,4,4,79,3
V,4,5,21,4
V,4,6,32,5
V,4,7,10,6
V,4,8,35,7
V,4,9,107,8
T,5,10000,10000
V,5,1,3376
V,5,2,456,1
V,5,3,240,2
V,5,4,155,3
V,5,5,412,4
V,5,6,930,5
V,5,7,530,6
T,6,10000,10000
V,6,1,173
V,6,2,236,1
V,6,3,2178,2
V,6,4,48,3
V,6,5,411,4
T,7,10000,10000
V,7,1,163
V,7,2,22,1
V,7,3,420,2
V,7,4,723,3
V,7,5,23,4
V,7,6,294,5
V,7,7,295,6
T,8,10000,10000
V,8,1,1340
V,8,2,485,1
V,8,3,150,2
V,8,4,616,3
V,8,5,619,4
V,8,6,117,5
V,8,7,619,6
T,9,10000,10000
V,9,1,38
V,9,2,119,1
V,9,3,164,2
V,9,4,1074,3
V,9,5,435,4
V,9,6,208,5
T,10,10000,10000
V,10,1,310
V,10,2,9,1
V,10,3,21,2
V,10,4,4,3
V,10,5,2,4
V,10,6,13,5
T,11,10000,10000
V,11,1,503
V,11,2,492,1
V,11,3,29,2
V,11,4,110,3
V,11,5,74,4
V,11,6,24,5
V,11,7,846,6
V,11,8,152,7
V,11,9,39,8
T,12,10000,10000
V,12,1,1102
V,12,2,43,1
V,12,3,351,2
V,12,4,596,3
V,12,5,807,4
V,12,6,1530,5
V,12,7,3102,6
V,12,8,848,7
V,12,9,242,8
T,13,10000,10000
V,13,1,310
V,13,2,348,1
V,13,3,66,2
V,13,4,68,3
V,13,5,830,4
T,14,20000,20000
V,14,1,3235
V,14,2,2826,1
V,14,3,315,2
V,14,4,3761,3
V,14,5,211,4
V,14,6,865,5
V,14,7,832,6
T,15,20000,20000
V,15,1,6140
V,15,2,1585,1
V,15,3,882,2
V,15,4,2503,3
V,15,5,761,4
V,15,6,672,5
T,16,20000,20000
V,16,1,416
V,16,2,1080,1
V,16,3,446,2
V,16,4,1429,3
V,16,5,1098,4
V,16,6,197,5
V,16,7,1177,6
V,16,8,468,7
V,16,9,330,8
T,17,20000,20000
V,17,1,150
V,17,2,189,1
V,17,3,194,2
V,17,4,215,3
V,17,5,134,4
V,17,6,70,5
V,17,7,319,6
T,18,20000,20000
V,18,1,264
V,18,2,401,1
V,18,3,126,2
V,18,4,129,3
V,18,5,569,4
V,18,6,130,5
V,18,7,3144,6
T,19,20000,20000
V,19,1,1154
V,19,2,528,1
V,19,3,133,2
V,19,4,403,3
V,19,5,275,4
V,19,6,2722,5
V,19,7,1318,6
V,19,8,131,7
V,19,9,530,8
T,20,50000,50000
V,20,1,3914
V,20,2,1439,1
V,20,3,1404,2
V,20,4,8201,3
V,20,5,856,4
T,21,100000,100000
V,21,1,694
V,21,2,1733,1
V,21,3,1243,2
V,21,4,4274,3
V,21,5,906,4
V,21,6,2817,5
V,21,7,1780,6
V,21,8,910,7
V,21,9,1628,8
V,21,10,6528,9
T,22,100000,100000
V,22,1,6329
V,22,2,14322,1
V,22,3,12270,2
V,22,4,19559,3
V,22,5,21467,4
V,22,6,2363,5
V,22,7,966,6
V,22,8,8337,7
T,23,100000,100000
V,23,1,5837
V,23,2,1041,1
V,23,3,11770,2
V,23,4,13197,3
V,23,5,5020,4
V,23,6,1558,5
T,24,100000,100000
V,24,1,413
V,24,2,794,1
V,24,3,934,2
V,24,4,691,3
V,24,5,474,4
V,24,6,75,5
T,25,100000,100000
V,25,1,3464
V,25,2,26362,1
V,25,3,9961,2
V,25,4,31899,3
V,25,5,27131,4
T,26,100000,100000
V,26,1,4606
V,26,2,4877,1
V,26,3,329,2
V,26,4,2694,3
V,26,5,3297,4
V,26,6,625,5
V,26,7,17635,6
V,26,8,13052,7
V,26,9,2057,8
T,27,100000,100000
V,27,1,1285
V,27,2,20491,1
V,27,3,2912,2
V,27,4,1884,3
V,27,5,9132,4
T,28,100000,100000
V,28,1,2851
V,28,2,2736,1
V,28,3,52,2
V,28,4,5080,3
V,28,5,1117,4
V,28,6,1518,5
V,28,7,1535,6
V,28,8,2825,7
T,29,100000,100000
V,29,1,2922
V,29,2,1383,1
V,29,3,1775,2
V,29,4,3170,3
V,29,5,331,4
T,30,100000,100000
V,30,1,44084
V,30,2,21677,1
V,30,3,17485,2
V,30,4,1069,3
V,30,5,5346,4
T,31,100000,100000
V,31,1,23020
V,31,2,5944,1
V,31,3,8695,2
V,31,4,17494,3
V,31,5,10500,4
V,31,6,14128,5
T,32,200000,200000
V,32,1,5001
V,32,2,2144,1
V,32,3,1288,2
V,32,4,7061,3
V,32,5,1943,4
V,32,6,1104,5
V,32,7,1115,6
