T,1,2000,2000
V,1,1,18
V,1,2,127,1
V,1,3,306,2
V,1,4,154,3
V,1,5,18,4
V,1,6,31,5
T,2,2000,2000
V,2,1,4
V,2,2,1,1
V,2,3,16,2
V,2,4,2,3
V,2,5,7,4
V,2,6,4,5
V,2,7,5,6
V,2,8,1,7
V,2,9,5,8
T,3,10000,10000
V,3,1,34
V,3,2,19,1
V,3,3,297,2
V,3,4,6,3
V,3,5,58,4
V,3,6,1,5
V,3,7,23,6
V,3,8,500,7
V,3,9,94,8
T,4,10000,10000
V,4,1,72
V,4,2,129,1
V,4,3,37,2
V,4,4,169,3
V,4,5,15,4
V,4,6,237,5
V,4,7,258,6
V,4,8,198,7
T,5,10000,10000
V,5,1,645
V,5,2,204,1
V,5,3,659,2
V,5,4,315,3
V,5,5,1013,4
V,5,6,165,5
V,5,7,420,6
V,5,8,104,7
V,5,9,64,8
T,6,10000,10000
V,6,1,761
V,6,2,97,1
V,6,3,157,2
V,6,4,231,3
V,6,5,112,4
V,6,6,8,5
V,6,7,565,6
V,6,8,95,7
T,7,10000,10000
V,7,1,6
V,7,2,9,1
V,7,3,12,2
V,7,4,52,3
V,7,5,5,4
V,7,6,9,5
V,7,7,9,6
V,7,8,1,7
V,7,9,2,8
V,7,10,39,9
T,8,20000,20000
V,8,1,696
V,8,2,868,1
V,8,3,606,2
V,8,4,96,3
V,8,5,100,4
V,8,6,536,5
V,8,7,343,6
V,8,8,107,7
V,8,9,552,8
T,9,20000,20000
V,9,1,28
V,9,2,70,1
V,9,3,167,2
V,9,4,76,3
V,9,5,234,4
V,9,6,100,5
V,9,7,42,6
V,9,8,66,7
V,9,9,176,8
T,10,20000,20000
V,10,1,71
V,10,2,18,1
V,10,3,13,2
V,10,4,135,3
V,10,5,26,4
T,11,20000,20000
V,11,1,393
V,11,2,152,1
V,11,3,20,2
V,11,4,13,3
V,11,5,197,4
V,11,6,121,5
V,11,7,156,6
T,12,20000,20000
V,12,1,26
V,12,2,14,1
V,12,3,34,2
V,12,4,61,3
V,12,5,60,4
V,12,6,140,5
V,12,7,2,6
V,12,8,2,7
T,13,20000,20000
V,13,1,833
V,13,2,67,1
V,13,3,10,2
V,13,4,443,3
V,13,5,67,4
V,13,6,980,5
V,13,7,2081,6
V,13,8,263,7
T,14,50000,50000
V,14,1,239
V,14,2,522,1
V,14,3,275,2
V,14,4,729,3
V,14,5,138,4
V,14,6,10,5
V,14,7,137,6
T,15,100000,100000
V,15,1,6715
V,15,2,2902,1
V,15,3,1278,2
V,15,4,2404,3
V,15,5,5454,4
T,16,100000,100000
V,16,1,484
V,16,2,364,1
V,16,3,174,2
V,16,4,206,3
V,16,5,572,4
V,16,6,77,5
V,16,7,2937,6
V,16,8,1272,7
V,16,9,1554,8
