T,1,1000,1000
V,1,1,35
V,1,2,49,1
V,1,3,33,2
V,1,4,218,3
V,1,5,6,4
V,1,6,17,5
V,1,7,94,6
V,1,8,74,7
V,1,9,35,8
T,2,1000,1000
V,2,1,3
V,2,2,6,1
V,2,3,4,2
V,2,4,1,3
V,2,5,1,4
V,2,6,5,5
V,2,7,9,6
T,3,1000,1000
V,3,1,108
V,3,2,143,1
V,3,3,119,2
V,3,4,221,3
V,3,5,55,4
T,4,1000,1000
V,4,1,22
V,4,2,136,1
V,4,3,54,2
V,4,4,142,3
V,4,5,128,4
T,5,1000,1000
V,5,1,5
V,5,2,94,1
V,5,3,5,2
V,5,4,35,3
V,5,5,76,4
V,5,6,15,5
V,5,7,222,6
T,6,5000,5000
V,6,1,147
V,6,2,18,1
V,6,3,44,2
V,6,4,131,3
V,6,5,202,4
T,7,10000,10000
V,7,1,50
V,7,2,6,1
V,7,3,171,2
V,7,4,69,3
V,7,5,77,4
V,7,6,191,5
V,7,7,190,6
V,7,8,518,7
T,8,10000,10000
V,8,1,123
V,8,2,15,1
V,8,3,8,2
V,8,4,446,3
V,8,5,125,4
V,8,6,104,5
V,8,7,109,6
T,9,10000,10000
V,9,1,25
V,9,2,21,1
V,9,3,32,2
V,9,4,68,3
V,9,5,25,4
V,9,6,2,5
V,9,7,2,6
V,9,8,26,7
V,9,9,29,8
V,9,10,8,9
T,10,10000,10000
V,10,1,543
V,10,2,1337,1
V,10,3,117,2
V,10,4,1319,3
V,10,5,87,4
T,11,10000,10000
V,11,1,56
V,11,2,9,1
V,11,3,178,2
V,11,4,18,3
V,11,5,98,4
V,11,6,25,5
T,12,10000,10000
V,12,1,150
V,12,2,38,1
V,12,3,103,2
V,12,4,148,3
V,12,5,98,4
V,12,6,15,5
T,13,10000,10000
V,13,1,860
V,13,2,6,1
V,13,3,181,2
V,13,4,493,3
V,13,5,32,4
V,13,6,186,5
V,13,7,213,6
V,13,8,1220,7
T,14,20000,20000
V,14,1,1886
V,14,2,342,1
V,14,3,848,2
V,14,4,1070,3
V,14,5,2278,4
T,15,20000,20000
V,15,1,147
V,15,2,282,1
V,15,3,206,2
V,15,4,239,3
V,15,5,499,4
V,15,6,190,5
V,15,7,93,6
V,15,8,423,7
T,16,20000,20000
V,16,1,2590
V,16,2,3639,1
V,16,3,752,2
V,16,4,1063,3
V,16,5,3080,4
V,16,6,479,5
T,17,20000,20000
V,17,1,276
V,17,2,315,1
V,17,3,228,2
V,17,4,515,3
V,17,5,729,4
V,17,6,131,5
V,17,7,95,6
T,18,20000,20000
V,18,1,162
V,18,2,39,1
V,18,3,62,2
V,18,4,332,3
V,18,5,208,4
T,19,20000,20000
V,19,1,44
V,19,2,102,1
V,19,3,72,2
V,19,4,154,3
V,19,5,703,4
V,19,6,509,5
V,19,7,604,6
V,19,8,57,7
V,19,9,331,8
V,19,10,270,9
T,20,20000,20000
V,20,1,102
V,20,2,491,1
V,20,3,192,2
V,20,4,316,3
V,20,5,2109,4
V,20,6,389,5
V,20,7,264,6
V,20,8,677,7
T,21,50000,50000
V,21,1,847
V,21,2,935,1
V,21,3,499,2
V,21,4,856,3
V,21,5,593,4
V,21,6,283,5
T,22,50000,50000
V,22,1,225
V,22,2,7679,1
V,22,3,179,2
V,22,4,2207,3
V,22,5,1288,4
V,22,6,503,5
V,22,7,5514,6
V,22,8,2437,7
V,22,9,7010,8
T,23,100000,100000
V,23,1,3531
V,23,2,6720,1
V,23,3,620,2
V,23,4,1071,3
V,23,5,4169,4
V,23,6,2989,5
V,23,7,1578,6
T,24,100000,100000
V,24,1,4389
V,24,2,851,1
V,24,3,892,2
V,24,4,1505,3
V,24,5,690,4
V,24,6,207,5
V,24,7,1193,6
V,24,8,2094,7
V,24,9,521,8
T,25,100000,100000
V,25,1,3660
V,25,2,3404,1
V,25,3,909,2
V,25,4,407,3
V,25,5,4195,4
T,26,100000,100000
V,26,1,4092
V,26,2,2971,1
V,26,3,464,2
V,26,4,6351,3
V,26,5,196,4
V,26,6,2651,5
V,26,7,456,6
V,26,8,6791,7
V,26,9,755,8
V,26,10,904,9
T,27,100000,100000
V,27,1,18986
V,27,2,461,1
V,27,3,5021,2
V,27,4,3834,3
V,27,5,462,4
V,27,6,16868,5
T,28,100000,100000
V,28,1,799
V,28,2,17117,1
V,28,3,3086,2
V,28,4,858,3
V,28,5,5503,4
T,29,100000,100000
V,29,1,5114
V,29,2,484,1
V,29,3,3047,2
V,29,4,8032,3
V,29,5,1736,4
V,29,6,2029,5
T,30,100000,100000
V,30,1,511
V,30,2,696,1
V,30,3,955,2
V,30,4,2534,3
V,30,5,495,4
V,30,6,138,5
V,30,7,1430,6
V,30,8,1781,7
V,30,9,591,8
T,31,100000,100000
V,31,1,457
V,31,2,16663,1
V,31,3,21154,2
V,31,4,4298,3
V,31,5,1924,4
V,31,6,775,5
T,32,100000,100000
V,32,1,8190
V,32,2,19686,1
V,32,3,1784,2
V,32,4,4836,3
V,32,5,6269,4
