T,1,2000,2000
V,1,1,3
V,1,2,19,1
V,1,3,1,2
V,1,4,7,3
V,1,5,19,4
V,1,6,34,5
V,1,7,3,6
V,1,8,21,7
V,1,9,9,8
V,1,10,27,9
T,2,10000,10000
V,2,1,279
V,2,2,516,1
V,2,3,3,2
V,2,4,2272,3
V,2,5,1639,4
V,2,6,45,5
V,2,7,2025,6
T,3,10000,10000
V,3,1,4111
V,3,2,1353,1
V,3,3,517,2
V,3,4,462,3
V,3,5,2404,4
V,3,6,571,5
T,4,10000,10000
V,4,1,268
V,4,2,478,1
V,4,3,251,2
V,4,4,135,3
V,4,5,156,4
V,4,6,409,5
V,4,7,2243,6
V,4,8,176,7
V,4,9,372,8
T,5,20000,20000
V,5,1,163
V,5,2,30,1
V,5,3,586,2
V,5,4,1128,3
V,5,5,32,4
V,5,6,141,5
V,5,7,141,6
T,6,20000,20000
V,6,1,245
V,6,2,327,1
V,6,3,2183,2
V,6,4,1310,3
V,6,5,821,4
V,6,6,962,5
V,6,7,2097,6
T,7,20000,20000
V,7,1,2932
V,7,2,31,1
V,7,3,93,2
V,7,4,885,3
V,7,5,1647,4
V,7,6,666,5
T,8,20000,20000
V,8,1,3635
V,8,2,1632,1
V,8,3,380,2
V,8,4,1984,3
V,8,5,1522,4
V,8,6,1194,5
T,9,100000,100000
V,9,1,7335
V,9,2,2138,1
V,9,3,1669,2
V,9,4,4169,3
V,9,5,5438,4
V,9,6,3637,5
V,9,7,1568,6
V,9,8,3723,7
T,10,100000,100000
V,10,1,2045
V,10,2,1219,1
V,10,3,14551,2
V,10,4,1562,3
V,10,5,20011,4
V,10,6,3263,5
T,11,100000,100000
V,11,1,666
V,11,2,242,1
V,11,3,2412,2
V,11,4,243,3
V,11,5,249,4
V,11,6,253,5
V,11,7,2382,6
V,11,8,248,7
V,11,9,907,8
T,12,100000,100000
V,12,1,427
V,12,2,165,1
V,12,3,798,2
V,12,4,225,3
V,12,5,12,4
T,13,100000,100000
V,13,1,2594
V,13,2,6426,1
V,13,3,4189,2
V,13,4,3378,3
V,13,5,3054,4
V,13,6,6820,5
V,13,7,517,6
V,13,8,2764,7
T,14,100000,100000
V,14,1,11992
V,14,2,2672,1
V,14,3,660,2
V,14,4,313,3
V,14,5,3047,4
V,14,6,3541,5
T,15,100000,100000
V,15,1,202
V,15,2,28,1
V,15,3,258,2
V,15,4,155,3
V,15,5,229,4
V,15,6,527,5
V,15,7,749,6
T,16,200000,200000
V,16,1,2559
V,16,2,138,1
V,16,3,21805,2
V,16,4,28319,3
V,16,5,101385,4
