T,1,1000,1000
V,1,1,9
V,1,2,7,1
V,1,3,49,2
V,1,4,26,3
V,1,5,50,4
V,1,6,28,5
V,1,7,9,6
V,1,8,100,7
V,1,9,8,8
T,2,5000,5000
V,2,1,193
V,2,2,62,1
V,2,3,17,2
V,2,4,226,3
V,2,5,121,4
V,2,6,228,5
T,3,5000,5000
V,3,1,245
V,3,2,18,1
V,3,3,884,2
V,3,4,174,3
V,3,5,211,4
V,3,6,71,5
V,3,7,155,6
V,3,8,236,7
V,3,9,96,8
V,3,10,5,9
T,4,10000,10000
V,4,1,250
V,4,2,301,1
V,4,3,822,2
V,4,4,263,3
V,4,5,122,4
T,5,10000,10000
V,5,1,1207
V,5,2,107,1
V,5,3,2095,2
V,5,4,1599,3
V,5,5,27,4
V,5,6,3065,5
T,6,10000,10000
V,6,1,623
V,6,2,1456,1
V,6,3,2045,2
V,6,4,518,3
V,6,5,533,4
V,6,6,795,5
V,6,7,1157,6
V,6,8,2078,7
T,7,10000,10000
V,7,1,213
V,7,2,80,1
V,7,3,64,2
V,7,4,138,3
V,7,5,3,4
V,7,6,28,5
V,7,7,127,6
V,7,8,28,7
V,7,9,241,8
T,8,20000,20000
V,8,1,3803
V,8,2,4360,1
V,8,3,2547,2
V,8,4,645,3
V,8,5,1003,4
T,9,20000,20000
V,9,1,2117
V,9,2,65,1
V,9,3,469,2
V,9,4,687,3
V,9,5,329,4
T,10,20000,20000
V,10,1,1794
V,10,2,668,1
V,10,3,1739,2
V,10,4,10340,3
V,10,5,3920,4
T,11,100000,100000
V,11,1,4673
V,11,2,11554,1
V,11,3,22134,2
V,11,4,18681,3
V,11,5,3398,4
V,11,6,9834,5
V,11,7,14784,6
V,11,8,3568,7
T,12,100000,100000
V,12,1,40261
V,12,2,5662,1
V,12,3,23073,2
V,12,4,2456,3
V,12,5,16441,4
V,12,6,4862,5
