T,1,10000,10000
V,1,1,41
V,1,2,635,1
V,1,3,36,2
V,1,4,48,3
V,1,5,207,4
V,1,6,177,5
T,2,10000,10000
V,2,1,73
V,2,2,90,1
V,2,3,92,2
V,2,4,126,3
V,2,5,57,4
V,2,6,131,5
V,2,7,98,6
T,3,10000,10000
V,3,1,66
V,3,2,843,1
V,3,3,188,2
V,3,4,58,3
V,3,5,55,4
T,4,20000,20000
V,4,1,159
V,4,2,1089,1
V,4,3,447,2
V,4,4,1274,3
V,4,5,309,4
V,4,6,846,5
V,4,7,499,6
V,4,8,175,7
V,4,9,285,8
V,4,10,629,9
T,5,50000,50000
V,5,1,501
V,5,2,1129,1
V,5,3,1170,2
V,5,4,3319,3
V,5,5,3243,4
T,6,50000,50000
V,6,1,4460
V,6,2,4801,1
V,6,3,327,2
V,6,4,6581,3
V,6,5,1567,4
V,6,6,3599,5
