T,1,1000,1000
V,1,1,45
V,1,2,78,1
V,1,3,8,2
V,1,4,256,3
V,1,5,11,4
V,1,6,334,5
T,2,2000,2000
V,2,1,189
V,2,2,20,1
V,2,3,5,2
V,2,4,251,3
V,2,5,214,4
V,2,6,153,5
V,2,7,64,6
T,3,5000,5000
V,3,1,782
V,3,2,153,1
V,3,3,207,2
V,3,4,205,3
V,3,5,94,4
V,3,6,191,5
V,3,7,152,6
V,3,8,107,7
T,4,10000,10000
V,4,1,363
V,4,2,206,1
V,4,3,717,2
V,4,4,70,3
V,4,5,202,4
V,4,6,831,5
T,5,10000,10000
V,5,1,950
V,5,2,47,1
V,5,3,28,2
V,5,4,151,3
V,5,5,118,4
V,5,6,294,5
V,5,7,65,6
T,6,10000,10000
V,6,1,314
V,6,2,1651,1
V,6,3,199,2
V,6,4,338,3
V,6,5,189,4
V,6,6,211,5
V,6,7,240,6
V,6,8,716,7
V,6,9,213,8
T,7,20000,20000
V,7,1,195
V,7,2,268,1
V,7,3,21,2
V,7,4,316,3
V,7,5,57,4
V,7,6,94,5
V,7,7,37,6
V,7,8,1027,7
V,7,9,37,8
V,7,10,175,9
T,8,20000,20000
V,8,1,599
V,8,2,4288,1
V,8,3,886,2
V,8,4,1843,3
V,8,5,424,4
V,8,6,1331,5
V,8,7,224,6
V,8,8,4903,7
V,8,9,2923,8
V,8,10,242,9
T,9,20000,20000
V,9,1,581
V,9,2,206,1
V,9,3,1127,2
V,9,4,2920,3
V,9,5,531,4
V,9,6,620,5
V,9,7,5351,6
V,9,8,455,7
V,9,9,4328,8
T,10,20000,20000
V,10,1,128
V,10,2,57,1
V,10,3,229,2
V,10,4,261,3
V,10,5,80,4
V,10,6,122,5
V,10,7,193,6
V,10,8,93,7
V,10,9,702,8
T,11,20000,20000
V,11,1,946
V,11,2,1302,1
V,11,3,6833,2
V,11,4,572,3
V,11,5,2641,4
V,11,6,1627,5
T,12,20000,20000
V,12,1,959
V,12,2,85,1
V,12,3,132,2
V,12,4,165,3
V,12,5,1076,4
V,12,6,492,5
V,12,7,555,6
T,13,100000,100000
V,13,1,13484
V,13,2,3533,1
V,13,3,2707,2
V,13,4,1975,3
V,13,5,5083,4
V,13,6,1869,5
T,14,100000,100000
V,14,1,15050
V,14,2,2864,1
V,14,3,63,2
V,14,4,15924,3
V,14,5,19086,4
T,15,100000,100000
V,15,1,15004
V,15,2,13268,1
V,15,3,4138,2
V,15,4,3751,3
V,15,5,2469,4
T,16,100000,100000
V,16,1,13018
V,16,2,13385,1
V,16,3,8341,2
V,16,4,15421,3
V,16,5,6595,4
V,16,6,30711,5
