T,1,2000,2000
V,1,1,2
V,1,2,2,1
V,1,3,2,2
V,1,4,2,3
V,1,5,2,4
V,1,6,2,5
T,2,2000,2000
V,2,1,1
V,2,2,3,1
V,2,3,19,2
V,2,4,4,3
V,2,5,2,4
V,2,6,24,5
V,2,7,3,6
V,2,8,1,7
V,2,9,8,8
V,2,10,8,9
T,3,10000,10000
V,3,1,58
V,3,2,1,1
V,3,3,50,2
V,3,4,93,3
V,3,5,59,4
V,3,6,87,5
V,3,7,93,6
V,3,8,13,7
T,4,10000,10000
V,4,1,5
V,4,2,35,1
V,4,3,214,2
V,4,4,288,3
V,4,5,34,4
V,4,6,131,5
T,5,10000,10000
V,5,1,186
V,5,2,172,1
V,5,3,37,2
V,5,4,91,3
V,5,5,7,4
V,5,6,44,5
V,5,7,92,6
V,5,8,39,7
V,5,9,5,8
V,5,10,51,9
T,6,10000,10000
V,6,1,92
V,6,2,81,1
V,6,3,59,2
V,6,4,17,3
V,6,5,17,4
V,6,6,26,5
V,6,7,39,6
T,7,10000,10000
V,7,1,5
V,7,2,37,1
V,7,3,48,2
V,7,4,45,3
V,7,5,13,4
V,7,6,24,5
V,7,7,1,6
T,8,20000,20000
V,8,1,91
V,8,2,483,1
V,8,3,350,2
V,8,4,243,3
V,8,5,97,4
V,8,6,153,5
V,8,7,5,6
V,8,8,469,7
V,8,9,40,8
T,9,20000,20000
V,9,1,53
V,9,2,83,1
V,9,3,96,2
V,9,4,25,3
V,9,5,60,4
V,9,6,157,5
V,9,7,189,6
V,9,8,50,7
V,9,9,26,8
V,9,10,569,9
T,10,20000,20000
V,10,1,166
V,10,2,177,1
V,10,3,106,2
V,10,4,135,3
V,10,5,30,4
V,10,6,82,5
V,10,7,6,6
V,10,8,59,7
V,10,9,344,8
T,11,20000,20000
V,11,1,1
V,11,2,1,1
V,11,3,1,2
V,11,4,1,3
V,11,5,1,4
V,11,6,1,5
V,11,7,1,6
T,12,20000,20000
V,12,1,74
V,12,2,103,1
V,12,3,13,2
V,12,4,26,3
V,12,5,7,4
V,12,6,42,5
V,12,7,31,6
V,12,8,24,7
V,12,9,50,8
V,12,10,19,9
T,13,20000,20000
V,13,1,1427
V,13,2,566,1
V,13,3,1148,2
V,13,4,15,3
V,13,5,283,4
V,13,6,1095,5
V,13,7,366,6
T,14,20000,20000
V,14,1,1
V,14,2,1,1
V,14,3,1,2
V,14,4,1,3
V,14,5,1,4
V,14,6,1,5
V,14,7,1,6
V,14,8,1,7
V,14,9,1,8
V,14,10,1,9
T,15,20000,20000
V,15,1,209
V,15,2,35,1
V,15,3,306,2
V,15,4,66,3
V,15,5,173,4
V,15,6,292,5
T,16,20000,20000
V,16,1,21
V,16,2,42,1
V,16,3,161,2
V,16,4,271,3
V,16,5,256,4
V,16,6,77,5
V,16,7,65,6
T,17,20000,20000
V,17,1,7
V,17,2,32,1
V,17,3,141,2
V,17,4,81,3
V,17,5,34,4
V,17,6,25,5
V,17,7,22,6
V,17,8,93,7
T,18,20000,20000
V,18,1,11
V,18,2,90,1
V,18,3,12,2
V,18,4,5,3
V,18,5,19,4
V,18,6,129,5
V,18,7,626,6
V,18,8,26,7
T,19,20000,20000
V,19,1,244
V,19,2,204,1
V,19,3,47,2
V,19,4,206,3
V,19,5,120,4
V,19,6,277,5
T,20,20000,20000
V,20,1,2
V,20,2,185,1
V,20,3,412,2
V,20,4,891,3
V,20,5,879,4
V,20,6,559,5
T,21,20000,20000
V,21,1,15
V,21,2,273,1
V,21,3,223,2
V,21,4,108,3
V,21,5,192,4
T,22,50000,50000
V,22,1,1565
V,22,2,740,1
V,22,3,91,2
V,22,4,157,3
V,22,5,10,4
V,22,6,326,5
V,22,7,106,6
V,22,8,58,7
V,22,9,541,8
T,23,50000,50000
V,23,1,10
V,23,2,85,1
V,23,3,51,2
V,23,4,45,3
V,23,5,150,4
V,23,6,112,5
T,24,100000,100000
V,24,1,254
V,24,2,679,1
V,24,3,44,2
V,24,4,364,3
V,24,5,1126,4
V,24,6,645,5
V,24,7,479,6
V,24,8,2238,7
T,25,100000,100000
V,25,1,140
V,25,2,97,1
V,25,3,87,2
V,25,4,6,3
V,25,5,201,4
V,25,6,268,5
V,25,7,21,6
V,25,8,82,7
V,25,9,834,8
V,25,10,174,9
T,26,100000,100000
V,26,1,266
V,26,2,177,1
V,26,3,170,2
V,26,4,160,3
V,26,5,22,4
V,26,6,295,5
V,26,7,237,6
V,26,8,620,7
V,26,9,743,8
V,26,10,6,9
T,27,100000,100000
V,27,1,101
V,27,2,78,1
V,27,3,76,2
V,27,4,298,3
V,27,5,99,4
V,27,6,425,5
V,27,7,1428,6
V,27,8,632,7
T,28,100000,100000
V,28,1,116
V,28,2,175,1
V,28,3,38,2
V,28,4,21,3
V,28,5,5,4
V,28,6,41,5
T,29,100000,100000
V,29,1,100
V,29,2,730,1
V,29,3,22,2
V,29,4,1526,3
V,29,5,208,4
V,29,6,1469,5
V,29,7,147,6
V,29,8,185,7
V,29,9,80,8
T,30,100000,100000
V,30,1,4549
V,30,2,2309,1
V,30,3,87,2
V,30,4,166,3
V,30,5,29,4
V,30,6,520,5
V,30,7,975,6
V,30,8,162,7
V,30,9,344,8
T,31,100000,100000
V,31,1,2047
V,31,2,216,1
V,31,3,1546,2
V,31,4,712,3
V,31,5,1987,4
T,32,200000,200000
V,32,1,2271
V,32,2,504,1
V,32,3,208,2
V,32,4,283,3
V,32,5,219,4
V,32,6,266,5
