T,1,1000,1000
V,1,1,1
V,1,2,1,1
V,1,3,1,2
V,1,4,1,3
V,1,5,1,4
V,1,6,1,5
V,1,7,1,6
V,1,8,1,7
V,1,9,1,8
T,2,5000,5000
V,2,1,94
V,2,2,97,1
V,2,3,53,2
V,2,4,38,3
V,2,5,398,4
V,2,6,182,5
V,2,7,164,6
T,3,5000,5000
V,3,1,47
V,3,2,4,1
V,3,3,44,2
V,3,4,40,3
V,3,5,49,4
V,3,6,43,5
V,3,7,20,6
V,3,8,74,7
V,3,9,3,8
V,3,10,10,9
T,4,5000,5000
V,4,1,25
V,4,2,399,1
V,4,3,496,2
V,4,4,477,3
V,4,5,35,4
V,4,6,342,5
V,4,7,374,6
T,5,5000,5000
V,5,1,48
V,5,2,57,1
V,5,3,46,2
V,5,4,240,3
V,5,5,255,4
V,5,6,17,5
T,6,10000,10000
V,6,1,44
V,6,2,373,1
V,6,3,115,2
V,6,4,155,3
V,6,5,65,4
T,7,10000,10000
V,7,1,19
V,7,2,195,1
V,7,3,14,2
V,7,4,146,3
V,7,5,53,4
V,7,6,109,5
V,7,7,243,6
V,7,8,33,7
V,7,9,6,8
T,8,10000,10000
V,8,1,15
V,8,2,38,1
V,8,3,1,2
V,8,4,6,3
V,8,5,106,4
V,8,6,210,5
V,8,7,116,6
V,8,8,26,7
V,8,9,20,8
T,9,20000,20000
V,9,1,442
V,9,2,7,1
V,9,3,639,2
V,9,4,519,3
V,9,5,339,4
T,10,20000,20000
V,10,1,132
V,10,2,1477,1
V,10,3,125,2
V,10,4,107,3
V,10,5,1366,4
V,10,6,745,5
T,11,20000,20000
V,11,1,4
V,11,2,245,1
V,11,3,50,2
V,11,4,12,3
V,11,5,100,4
V,11,6,46,5
V,11,7,36,6
V,11,8,113,7
T,12,20000,20000
V,12,1,89
V,12,2,932,1
V,12,3,957,2
V,12,4,538,3
V,12,5,2017,4
V,12,6,72,5
V,12,7,353,6
V,12,8,465,7
V,12,9,1348,8
V,12,10,245,9
T,13,100000,100000
V,13,1,1496
V,13,2,300,1
V,13,3,6884,2
V,13,4,2594,3
V,13,5,965,4
V,13,6,1293,5
T,14,100000,100000
V,14,1,4961
V,14,2,1746,1
V,14,3,5640,2
V,14,4,5308,3
V,14,5,325,4
T,15,100000,100000
V,15,1,655
V,15,2,3913,1
V,15,3,516,2
V,15,4,406,3
V,15,5,109,4
V,15,6,609,5
V,15,7,1497,6
T,16,100000,100000
V,16,1,88
V,16,2,3426,1
V,16,3,10996,2
V,16,4,4468,3
V,16,5,3580,4
V,16,6,6040,5
