T,1,2000,2000
V,1,1,45
V,1,2,4,1
V,1,3,7,2
V,1,4,3,3
V,1,5,3,4
V,1,6,6,5
V,1,7,30,6
V,1,8,1,7
V,1,9,2,8
V,1,10,19,9
T,2,5000,5000
V,2,1,42
V,2,2,43,1
V,2,3,150,2
V,2,4,46,3
V,2,5,205,4
V,2,6,76,5
V,2,7,20,6
V,2,8,142,7
V,2,9,27,8
V,2,10,236,9
T,3,10000,10000
V,3,1,37
V,3,2,66,1
V,3,3,29,2
V,3,4,12,3
V,3,5,90,4
V,3,6,32,5
T,4,10000,10000
V,4,1,837
V,4,2,72,1
V,4,3,267,2
V,4,4,226,3
V,4,5,72,4
V,4,6,690,5
V,4,7,940,6
V,4,8,17,7
V,4,9,722,8
T,5,10000,10000
V,5,1,9
V,5,2,95,1
V,5,3,20,2
V,5,4,36,3
V,5,5,103,4
T,6,10000,10000
V,6,1,13
V,6,2,35,1
V,6,3,361,2
V,6,4,105,3
V,6,5,45,4
V,6,6,145,5
V,6,7,408,6
V,6,8,137,7
V,6,9,204,8
T,7,10000,10000
V,7,1,63
V,7,2,152,1
V,7,3,31,2
V,7,4,96,3
V,7,5,28,4
V,7,6,227,5
V,7,7,44,6
V,7,8,21,7
V,7,9,14,8
V,7,10,20,9
T,8,10000,10000
V,8,1,15
V,8,2,14,1
V,8,3,27,2
V,8,4,26,3
V,8,5,174,4
V,8,6,215,5
V,8,7,122,6
T,9,10000,10000
V,9,1,58
V,9,2,208,1
V,9,3,52,2
V,9,4,60,3
V,9,5,23,4
V,9,6,31,5
V,9,7,13,6
V,9,8,66,7
T,10,10000,10000
V,10,1,99
V,10,2,60,1
V,10,3,41,2
V,10,4,201,3
V,10,5,106,4
V,10,6,15,5
V,10,7,86,6
V,10,8,33,7
V,10,9,12,8
V,10,10,113,9
T,11,10000,10000
V,11,1,3
V,11,2,4,1
V,11,3,17,2
V,11,4,12,3
V,11,5,3,4
V,11,6,6,5
V,11,7,23,6
V,11,8,8,7
T,12,20000,20000
V,12,1,65
V,12,2,18,1
V,12,3,37,2
V,12,4,125,3
V,12,5,80,4
V,12,6,173,5
V,12,7,14,6
V,12,8,63,7
V,12,9,123,8
V,12,10,43,9
T,13,20000,20000
V,13,1,21
V,13,2,33,1
V,13,3,3,2
V,13,4,2,3
V,13,5,6,4
V,13,6,1,5
V,13,7,148,6
V,13,8,7,7
V,13,9,2,8
T,14,20000,20000
V,14,1,140
V,14,2,2,1
V,14,3,130,2
V,14,4,47,3
V,14,5,19,4
V,14,6,140,5
V,14,7,123,6
T,15,20000,20000
V,15,1,520
V,15,2,22,1
V,15,3,665,2
V,15,4,237,3
V,15,5,112,4
V,15,6,134,5
V,15,7,439,6
V,15,8,97,7
V,15,9,513,8
V,15,10,144,9
T,16,20000,20000
V,16,1,275
V,16,2,2841,1
V,16,3,2372,2
V,16,4,547,3
V,16,5,389,4
V,16,6,161,5
V,16,7,789,6
V,16,8,2277,7
T,17,20000,20000
V,17,1,5
V,17,2,97,1
V,17,3,18,2
V,17,4,20,3
V,17,5,12,4
V,17,6,34,5
V,17,7,9,6
V,17,8,36,7
T,18,20000,20000
V,18,1,95
V,18,2,703,1
V,18,3,692,2
V,18,4,187,3
V,18,5,1105,4
V,18,6,763,5
T,19,20000,20000
V,19,1,42
V,19,2,5,1
V,19,3,2,2
V,19,4,81,3
V,19,5,54,4
V,19,6,11,5
T,20,20000,20000
V,20,1,214
V,20,2,56,1
V,20,3,56,2
V,20,4,13,3
V,20,5,13,4
V,20,6,42,5
V,20,7,2,6
T,21,20000,20000
V,21,1,6
V,21,2,174,1
V,21,3,65,2
V,21,4,21,3
V,21,5,48,4
V,21,6,26,5
V,21,7,313,6
T,22,50000,50000
V,22,1,2
V,22,2,23,1
V,22,3,474,2
V,22,4,371,3
V,22,5,24,4
V,22,6,365,5
V,22,7,190,6
V,22,8,46,7
V,22,9,85,8
T,23,100000,100000
V,23,1,134
V,23,2,10,1
V,23,3,384,2
V,23,4,18,3
V,23,5,3,4
V,23,6,115,5
T,24,100000,100000
V,24,1,17528
V,24,2,1218,1
V,24,3,7655,2
V,24,4,4546,3
V,24,5,1174,4
V,24,6,219,5
T,25,100000,100000
V,25,1,203
V,25,2,337,1
V,25,3,15,2
V,25,4,559,3
V,25,5,1083,4
T,26,100000,100000
V,26,1,4933
V,26,2,3423,1
V,26,3,2358,2
V,26,4,791,3
V,26,5,25,4
T,27,100000,100000
V,27,1,1127
V,27,2,257,1
V,27,3,1445,2
V,27,4,300,3
V,27,5,598,4
V,27,6,1247,5
V,27,7,307,6
V,27,8,1718,7
V,27,9,605,8
V,27,10,2368,9
T,28,100000,100000
V,28,1,6158
V,28,2,3013,1
V,28,3,9096,2
V,28,4,1981,3
V,28,5,6467,4
T,29,100000,100000
V,29,1,524
V,29,2,65,1
V,29,3,459,2
V,29,4,785,3
V,29,5,797,4
V,29,6,750,5
V,29,7,390,6
V,29,8,764,7
V,29,9,1,8
T,30,100000,100000
V,30,1,407
V,30,2,678,1
V,30,3,628,2
V,30,4,2153,3
V,30,5,70,4
T,31,100000,100000
V,31,1,166
V,31,2,416,1
V,31,3,845,2
V,31,4,862,3
V,31,5,348,4
V,31,6,886,5
V,31,7,788,6
T,32,200000,200000
V,32,1,6223
V,32,2,10096,1
V,32,3,2530,2
V,32,4,1024,3
V,32,5,396,4
V,32,6,4499,5
V,32,7,1686,6
V,32,8,2903,7
V,32,9,215,8
V,32,10,1870,9
