T,1,1000,1000
V,1,1,4
V,1,2,18,1
V,1,3,30,2
V,1,4,5,3
V,1,5,28,4
V,1,6,3,5
T,2,10000,10000
V,2,1,111
V,2,2,603,1
V,2,3,622,2
V,2,4,700,3
V,2,5,530,4
V,2,6,1795,5
V,2,7,136,6
V,2,8,25,7
T,3,10000,10000
V,3,1,242
V,3,2,42,1
V,3,3,17,2
V,3,4,32,3
V,3,5,42,4
T,4,10000,10000
V,4,1,73
V,4,2,118,1
V,4,3,151,2
V,4,4,44,3
V,4,5,222,4
V,4,6,34,5
V,4,7,3,6
V,4,8,417,7
V,4,9,250,8
V,4,10,40,9
T,5,10000,10000
V,5,1,93
V,5,2,11,1
V,5,3,154,2
V,5,4,12,3
V,5,5,9,4
V,5,6,17,5
V,5,7,3,6
V,5,8,43,7
V,5,9,3,8
V,5,10,76,9
T,6,10000,10000
V,6,1,20
V,6,2,27,1
V,6,3,50,2
V,6,4,278,3
V,6,5,226,4
V,6,6,71,5
T,7,20000,20000
V,7,1,130
V,7,2,285,1
V,7,3,1352,2
V,7,4,1686,3
V,7,5,394,4
V,7,6,1255,5
V,7,7,303,6
V,7,8,659,7
T,8,20000,20000
V,8,1,153
V,8,2,747,1
V,8,3,456,2
V,8,4,176,3
V,8,5,125,4
V,8,6,3,5
V,8,7,462,6
T,9,20000,20000
V,9,1,4
V,9,2,91,1
V,9,3,29,2
V,9,4,209,3
V,9,5,123,4
V,9,6,101,5
V,9,7,34,6
V,9,8,250,7
V,9,9,56,8
T,10,20000,20000
V,10,1,1066
V,10,2,550,1
V,10,3,117,2
V,10,4,204,3
V,10,5,50,4
V,10,6,2115,5
V,10,7,303,6
V,10,8,5,7
V,10,9,279,8
T,11,20000,20000
V,11,1,1720
V,11,2,442,1
V,11,3,427,2
V,11,4,2013,3
V,11,5,843,4
V,11,6,507,5
T,12,20000,20000
V,12,1,569
V,12,2,331,1
V,12,3,197,2
V,12,4,68,3
V,12,5,1495,4
T,13,20000,20000
V,13,1,161
V,13,2,3,1
V,13,3,83,2
V,13,4,82,3
V,13,5,61,4
V,13,6,198,5
V,13,7,398,6
V,13,8,328,7
T,14,20000,20000
V,14,1,3
V,14,2,6,1
V,14,3,12,2
V,14,4,9,3
V,14,5,21,4
V,14,6,8,5
V,14,7,3,6
V,14,8,28,7
V,14,9,31,8
T,15,20000,20000
V,15,1,35
V,15,2,200,1
V,15,3,234,2
V,15,4,125,3
V,15,5,130,4
V,15,6,19,5
T,16,50000,50000
V,16,1,749
V,16,2,54,1
V,16,3,952,2
V,16,4,540,3
V,16,5,1406,4
T,17,50000,50000
V,17,1,414
V,17,2,262,1
V,17,3,1013,2
V,17,4,2308,3
V,17,5,388,4
V,17,6,515,5
V,17,7,607,6
V,17,8,736,7
V,17,9,1177,8
T,18,50000,50000
V,18,1,338
V,18,2,4111,1
V,18,3,378,2
V,18,4,1044,3
V,18,5,514,4
V,18,6,2044,5
V,18,7,1518,6
V,18,8,3,7
V,18,9,163,8
V,18,10,1263,9
T,19,100000,100000
V,19,1,52
V,19,2,259,1
V,19,3,66,2
V,19,4,91,3
V,19,5,22,4
V,19,6,80,5
V,19,7,42,6
V,19,8,42,7
V,19,9,86,8
V,19,10,145,9
T,20,100000,100000
V,20,1,97
V,20,2,24759,1
V,20,3,41,2
V,20,4,2260,3
V,20,5,3425,4
V,20,6,4869,5
T,21,100000,100000
V,21,1,16671
V,21,2,13442,1
V,21,3,18264,2
V,21,4,15206,3
V,21,5,2676,4
T,22,100000,100000
V,22,1,1772
V,22,2,3005,1
V,22,3,935,2
V,22,4,1804,3
V,22,5,3557,4
T,23,100000,100000
V,23,1,6200
V,23,2,609,1
V,23,3,6387,2
V,23,4,2,3
V,23,5,7344,4
V,23,6,4831,5
V,23,7,2452,6
V,23,8,8532,7
V,23,9,660,8
T,24,200000,200000
V,24,1,2
V,24,2,51,1
V,24,3,10,2
V,24,4,5,3
V,24,5,33,4
V,24,6,100,5
V,24,7,19,6
