T,1,2000,2000
V,1,1,1
V,1,2,1,1
V,1,3,1,2
V,1,4,1,3
V,1,5,1,4
V,1,6,1,5
V,1,7,1,6
V,1,8,1,7
V,1,9,1,8
V,1,10,1,9
T,2,2000,2000
V,2,1,16
V,2,2,3,1
V,2,3,1,2
V,2,4,10,3
V,2,5,15,4
V,2,6,20,5
V,2,7,9,6
V,2,8,20,7
V,2,9,17,8
T,3,5000,5000
V,3,1,27
V,3,2,1,1
V,3,3,19,2
V,3,4,12,3
V,3,5,64,4
V,3,6,88,5
T,4,5000,5000
V,4,1,11
V,4,2,7,1
V,4,3,22,2
V,4,4,17,3
V,4,5,30,4
V,4,6,70,5
V,4,7,54,6
V,4,8,1,7
V,4,9,17,8
V,4,10,32,9
T,5,5000,5000
V,5,1,24
V,5,2,97,1
V,5,3,24,2
V,5,4,57,3
V,5,5,14,4
T,6,10000,10000
V,6,1,2
V,6,2,4,1
V,6,3,14,2
V,6,4,6,3
V,6,5,3,4
V,6,6,4,5
V,6,7,1,6
V,6,8,4,7
V,6,9,8,8
T,7,10000,10000
V,7,1,71
V,7,2,452,1
V,7,3,175,2
V,7,4,511,3
V,7,5,72,4
V,7,6,17,5
T,8,10000,10000
V,8,1,79
V,8,2,85,1
V,8,3,133,2
V,8,4,39,3
V,8,5,91,4
V,8,6,4,5
V,8,7,22,6
V,8,8,158,7
V,8,9,130,8
V,8,10,105,9
T,9,10000,10000
V,9,1,14
V,9,2,36,1
V,9,3,22,2
V,9,4,61,3
V,9,5,1,4
V,9,6,3,5
V,9,7,41,6
V,9,8,3,7
V,9,9,7,8
T,10,10000,10000
V,10,1,28
V,10,2,29,1
V,10,3,31,2
V,10,4,226,3
V,10,5,68,4
T,11,10000,10000
V,11,1,4
V,11,2,18,1
V,11,3,24,2
V,11,4,46,3
V,11,5,16,4
V,11,6,13,5
V,11,7,7,6
V,11,8,9,7
V,11,9,3,8
V,11,10,5,9
T,12,10000,10000
V,12,1,112
V,12,2,169,1
V,12,3,402,2
V,12,4,170,3
V,12,5,688,4
T,13,10000,10000
V,13,1,5
V,13,2,72,1
V,13,3,37,2
V,13,4,77,3
V,13,5,3,4
V,13,6,11,5
T,14,20000,20000
V,14,1,136
V,14,2,150,1
V,14,3,520,2
V,14,4,78,3
V,14,5,276,4
T,15,20000,20000
V,15,1,46
V,15,2,186,1
V,15,3,48,2
V,15,4,213,3
V,15,5,574,4
V,15,6,107,5
T,16,20000,20000
V,16,1,29
V,16,2,14,1
V,16,3,19,2
V,16,4,1,3
V,16,5,12,4
V,16,6,9,5
V,16,7,19,6
V,16,8,12,7
T,17,20000,20000
V,17,1,40
V,17,2,75,1
V,17,3,59,2
V,17,4,13,3
V,17,5,90,4
V,17,6,152,5
V,17,7,24,6
V,17,8,41,7
V,17,9,158,8
V,17,10,60,9
T,18,20000,20000
V,18,1,90
V,18,2,14,1
V,18,3,48,2
V,18,4,2,3
V,18,5,42,4
V,18,6,36,5
V,18,7,23,6
V,18,8,6,7
V,18,9,23,8
V,18,10,4,9
T,19,50000,50000
V,19,1,163
V,19,2,130,1
V,19,3,65,2
V,19,4,153,3
V,19,5,259,4
V,19,6,25,5
V,19,7,39,6
V,19,8,22,7
T,20,50000,50000
V,20,1,343
V,20,2,76,1
V,20,3,71,2
V,20,4,24,3
V,20,5,194,4
V,20,6,299,5
T,21,100000,100000
V,21,1,1
V,21,2,27,1
V,21,3,968,2
V,21,4,2,3
V,21,5,648,4
V,21,6,410,5
V,21,7,926,6
V,21,8,354,7
V,21,9,218,8
V,21,10,94,9
T,22,100000,100000
V,22,1,1079
V,22,2,217,1
V,22,3,228,2
V,22,4,6827,3
V,22,5,424,4
V,22,6,1022,5
V,22,7,697,6
V,22,8,332,7
V,22,9,733,8
T,23,100000,100000
V,23,1,18
V,23,2,388,1
V,23,3,10,2
V,23,4,1215,3
V,23,5,224,4
V,23,6,78,5
V,23,7,212,6
T,24,100000,100000
V,24,1,355
V,24,2,147,1
V,24,3,52,2
V,24,4,8,3
V,24,5,18,4
V,24,6,525,5
V,24,7,480,6
V,24,8,125,7
V,24,9,30,8
V,24,10,428,9
T,25,100000,100000
V,25,1,476
V,25,2,369,1
V,25,3,113,2
V,25,4,116,3
V,25,5,763,4
V,25,6,2590,5
V,25,7,469,6
V,25,8,595,7
V,25,9,2723,8
V,25,10,418,9
T,26,100000,100000
V,26,1,5344
V,26,2,7079,1
V,26,3,3266,2
V,26,4,4355,3
V,26,5,5176,4
V,26,6,2199,5
V,26,7,8182,6
T,27,100000,100000
V,27,1,519
V,27,2,577,1
V,27,3,191,2
V,27,4,281,3
V,27,5,22,4
V,27,6,412,5
T,28,100000,100000
V,28,1,601
V,28,2,137,1
V,28,3,357,2
V,28,4,810,3
V,28,5,132,4
T,29,100000,100000
V,29,1,355
V,29,2,239,1
V,29,3,110,2
V,29,4,200,3
V,29,5,302,4
V,29,6,15,5
V,29,7,95,6
T,30,100000,100000
V,30,1,12
V,30,2,112,1
V,30,3,11,2
V,30,4,255,3
V,30,5,24,4
V,30,6,103,5
V,30,7,90,6
V,30,8,111,7
V,30,9,60,8
T,31,100000,100000
V,31,1,165
V,31,2,212,1
V,31,3,182,2
V,31,4,77,3
V,31,5,83,4
V,31,6,12,5
V,31,7,8,6
T,32,100000,100000
V,32,1,1659
V,32,2,477,1
V,32,3,297,2
V,32,4,619,3
V,32,5,232,4
