T,1,1000,1000
V,1,1,100
V,1,2,114,1
V,1,3,26,2
V,1,4,39,3
V,1,5,22,4
V,1,6,67,5
V,1,7,230,6
V,1,8,20,7
T,2,1000,1000
V,2,1,2
V,2,2,2,1
V,2,3,2,2
V,2,4,2,3
V,2,5,2,4
V,2,6,2,5
V,2,7,2,6
T,3,5000,5000
V,3,1,102
V,3,2,1,1
V,3,3,194,2
V,3,4,394,3
V,3,5,167,4
V,3,6,29,5
V,3,7,87,6
V,3,8,233,7
T,4,10000,10000
V,4,1,9
V,4,2,28,1
V,4,3,8,2
V,4,4,3,3
V,4,5,31,4
V,4,6,71,5
V,4,7,128,6
V,4,8,27,7
T,5,10000,10000
V,5,1,91
V,5,2,22,1
V,5,3,260,2
V,5,4,66,3
V,5,5,89,4
V,5,6,131,5
V,5,7,83,6
V,5,8,198,7
T,6,10000,10000
V,6,1,435
V,6,2,44,1
V,6,3,32,2
V,6,4,177,3
V,6,5,15,4
V,6,6,8,5
V,6,7,36,6
V,6,8,123,7
V,6,9,110,8
V,6,10,121,9
T,7,10000,10000
V,7,1,78
V,7,2,406,1
V,7,3,54,2
V,7,4,106,3
V,7,5,23,4
V,7,6,59,5
V,7,7,137,6
V,7,8,13,7
V,7,9,151,8
T,8,10000,10000
V,8,1,76
V,8,2,348,1
V,8,3,72,2
V,8,4,185,3
V,8,5,282,4
V,8,6,97,5
V,8,7,2,6
T,9,10000,10000
V,9,1,340
V,9,2,116,1
V,9,3,132,2
V,9,4,49,3
V,9,5,181,4
V,9,6,47,5
V,9,7,259,6
V,9,8,76,7
V,9,9,259,8
V,9,10,300,9
T,10,10000,10000
V,10,1,923
V,10,2,419,1
V,10,3,143,2
V,10,4,255,3
V,10,5,1707,4
T,11,10000,10000
V,11,1,53
V,11,2,97,1
V,11,3,16,2
V,11,4,24,3
V,11,5,165,4
T,12,20000,20000
V,12,1,5
V,12,2,441,1
V,12,3,416,2
V,12,4,398,3
V,12,5,137,4
T,13,20000,20000
V,13,1,1
V,13,2,18,1
V,13,3,18,2
V,13,4,3,3
V,13,5,5,4
V,13,6,2,5
T,14,20000,20000
V,14,1,13
V,14,2,66,1
V,14,3,32,2
V,14,4,87,3
V,14,5,46,4
V,14,6,194,5
V,14,7,149,6
V,14,8,24,7
V,14,9,17,8
V,14,10,46,9
T,15,20000,20000
V,15,1,486
V,15,2,48,1
V,15,3,129,2
V,15,4,172,3
V,15,5,578,4
V,15,6,296,5
V,15,7,241,6
V,15,8,10,7
T,16,20000,20000
V,16,1,169
V,16,2,35,1
V,16,3,473,2
V,16,4,25,3
V,16,5,430,4
V,16,6,525,5
V,16,7,550,6
V,16,8,20,7
T,17,20000,20000
V,17,1,76
V,17,2,70,1
V,17,3,211,2
V,17,4,81,3
V,17,5,470,4
V,17,6,11,5
V,17,7,123,6
T,18,20000,20000
V,18,1,328
V,18,2,112,1
V,18,3,221,2
V,18,4,31,3
V,18,5,691,4
V,18,6,103,5
V,18,7,57,6
V,18,8,334,7
T,19,50000,50000
V,19,1,3151
V,19,2,36,1
V,19,3,2522,2
V,19,4,143,3
V,19,5,605,4
T,20,50000,50000
V,20,1,639
V,20,2,145,1
V,20,3,425,2
V,20,4,262,3
V,20,5,53,4
V,20,6,294,5
V,20,7,27,6
V,20,8,1151,7
V,20,9,231,8
V,20,10,387,9
T,21,100000,100000
V,21,1,629
V,21,2,549,1
V,21,3,1119,2
V,21,4,363,3
V,21,5,2068,4
V,21,6,6270,5
V,21,7,14753,6
T,22,100000,100000
V,22,1,21163
V,22,2,8596,1
V,22,3,129,2
V,22,4,6999,3
V,22,5,427,4
T,23,100000,100000
V,23,1,352
V,23,2,74,1
V,23,3,548,2
V,23,4,40,3
V,23,5,6,4
V,23,6,735,5
T,24,100000,100000
V,24,1,73
V,24,2,2222,1
V,24,3,6036,2
V,24,4,12457,3
V,24,5,1215,4
T,25,100000,100000
V,25,1,87
V,25,2,371,1
V,25,3,555,2
V,25,4,808,3
V,25,5,437,4
V,25,6,776,5
V,25,7,131,6
V,25,8,85,7
V,25,9,1474,8
V,25,10,1468,9
T,26,100000,100000
V,26,1,560
V,26,2,3995,1
V,26,3,4891,2
V,26,4,5527,3
V,26,5,5050,4
V,26,6,806,5
T,27,100000,100000
V,27,1,237
V,27,2,1594,1
V,27,3,175,2
V,27,4,1071,3
V,27,5,857,4
V,27,6,1165,5
V,27,7,541,6
V,27,8,1108,7
V,27,9,4368,8
T,28,100000,100000
V,28,1,428
V,28,2,1150,1
V,28,3,333,2
V,28,4,653,3
V,28,5,565,4
V,28,6,209,5
V,28,7,3175,6
V,28,8,947,7
V,28,9,272,8
V,28,10,3314,9
T,29,100000,100000
V,29,1,959
V,29,2,942,1
V,29,3,680,2
V,29,4,253,3
V,29,5,52,4
V,29,6,925,5
V,29,7,2075,6
V,29,8,326,7
T,30,100000,100000
V,30,1,63
V,30,2,655,1
V,30,3,210,2
V,30,4,108,3
V,30,5,267,4
V,30,6,36,5
V,30,7,141,6
T,31,100000,100000
V,31,1,45
V,31,2,241,1
V,31,3,1000,2
V,31,4,661,3
V,31,5,32,4
V,31,6,105,5
T,32,100000,100000
V,32,1,328
V,32,2,4,1
V,32,3,203,2
V,32,4,49,3
V,32,5,810,4
V,32,6,330,5
V,32,7,647,6
V,32,8,87,7
