T,1,1000,1000
V,1,1,19
V,1,2,11,1
V,1,3,132,2
V,1,4,26,3
V,1,5,11,4
V,1,6,82,5
V,1,7,89,6
V,1,8,18,7
V,1,9,63,8
T,2,1000,1000
V,2,1,204
V,2,2,130,1
V,2,3,61,2
V,2,4,5,3
V,2,5,3,4
V,2,6,94,5
V,2,7,43,6
V,2,8,77,7
V,2,9,11,8
T,3,1000,1000
V,3,1,25
V,3,2,125,1
V,3,3,18,2
V,3,4,292,3
V,3,5,227,4
V,3,6,29,5
V,3,7,16,6
V,3,8,20,7
V,3,9,53,8
T,4,2000,2000
V,4,1,105
V,4,2,45,1
V,4,3,69,2
V,4,4,265,3
V,4,5,29,4
V,4,6,107,5
V,4,7,294,6
T,5,2000,2000
V,5,1,106
V,5,2,212,1
V,5,3,305,2
V,5,4,87,3
V,5,5,168,4
V,5,6,148,5
V,5,7,52,6
V,5,8,76,7
V,5,9,81,8
T,6,2000,2000
V,6,1,309
V,6,2,69,1
V,6,3,349,2
V,6,4,55,3
V,6,5,300,4
V,6,6,276,5
V,6,7,384,6
V,6,8,107,7
T,7,5000,5000
V,7,1,207
V,7,2,1237,1
V,7,3,632,2
V,7,4,277,3
V,7,5,590,4
V,7,6,736,5
V,7,7,342,6
T,8,10000,10000
V,8,1,575
V,8,2,1295,1
V,8,3,1199,2
V,8,4,797,3
V,8,5,454,4
V,8,6,156,5
T,9,10000,10000
V,9,1,371
V,9,2,1391,1
V,9,3,189,2
V,9,4,1282,3
V,9,5,59,4
V,9,6,484,5
V,9,7,2087,6
V,9,8,1534,7
V,9,9,94,8
V,9,10,1058,9
T,10,10000,10000
V,10,1,472
V,10,2,668,1
V,10,3,2053,2
V,10,4,416,3
V,10,5,1543,4
V,10,6,1824,5
V,10,7,2687,6
T,11,10000,10000
V,11,1,1411
V,11,2,766,1
V,11,3,485,2
V,11,4,1914,3
V,11,5,1361,4
V,11,6,1774,5
T,12,10000,10000
V,12,1,1442
V,12,2,248,1
V,12,3,35,2
V,12,4,1035,3
V,12,5,378,4
T,13,10000,10000
V,13,1,101
V,13,2,1144,1
V,13,3,775,2
V,13,4,4803,3
V,13,5,707,4
V,13,6,2105,5
T,14,20000,20000
V,14,1,1905
V,14,2,44,1
V,14,3,183,2
V,14,4,703,3
V,14,5,417,4
T,15,20000,20000
V,15,1,693
V,15,2,353,1
V,15,3,4916,2
V,15,4,1357,3
V,15,5,390,4
T,16,20000,20000
V,16,1,375
V,16,2,2361,1
V,16,3,476,2
V,16,4,146,3
V,16,5,1864,4
V,16,6,536,5
T,17,20000,20000
V,17,1,646
V,17,2,125,1
V,17,3,409,2
V,17,4,38,3
V,17,5,48,4
V,17,6,145,5
T,18,20000,20000
V,18,1,93
V,18,2,2825,1
V,18,3,752,2
V,18,4,1686,3
V,18,5,3138,4
V,18,6,619,5
V,18,7,135,6
V,18,8,2070,7
V,18,9,164,8
V,18,10,1903,9
T,19,20000,20000
V,19,1,496
V,19,2,636,1
V,19,3,1541,2
V,19,4,2640,3
V,19,5,2724,4
V,19,6,1730,5
V,19,7,182,6
T,20,100000,100000
V,20,1,9975
V,20,2,2245,1
V,20,3,21030,2
V,20,4,2087,3
V,20,5,11648,4
V,20,6,6789,5
V,20,7,4412,6
V,20,8,34736,7
T,21,100000,100000
V,21,1,5579
V,21,2,26573,1
V,21,3,5719,2
V,21,4,6170,3
V,21,5,29868,4
V,21,6,1097,5
T,22,100000,100000
V,22,1,6322
V,22,2,9196,1
V,22,3,10103,2
V,22,4,410,3
V,22,5,4887,4
V,22,6,143,5
V,22,7,1053,6
V,22,8,693,7
V,22,9,4638,8
V,22,10,13778,9
T,23,100000,100000
V,23,1,1179
V,23,2,12423,1
V,23,3,6601,2
V,23,4,2421,3
V,23,5,3399,4
V,23,6,11012,5
V,23,7,8173,6
V,23,8,714,7
V,23,9,12759,8
V,23,10,2636,9
T,24,100000,100000
V,24,1,11380
V,24,2,2054,1
V,24,3,3527,2
V,24,4,5692,3
V,24,5,8970,4
V,24,6,10146,5
V,24,7,6524,6
V,24,8,5902,7
