T,1,5000,5000
V,1,1,731
V,1,2,1263,1
V,1,3,287,2
V,1,4,94,3
V,1,5,1625,4
T,2,5000,5000
V,2,1,1036
V,2,2,358,1
V,2,3,1208,2
V,2,4,144,3
V,2,5,846,4
V,2,6,268,5
T,3,10000,10000
V,3,1,373
V,3,2,3766,1
V,3,3,412,2
V,3,4,283,3
V,3,5,912,4
V,3,6,3216,5
V,3,7,385,6
V,3,8,162,7
T,4,10000,10000
V,4,1,518
V,4,2,500,1
V,4,3,745,2
V,4,4,1861,3
V,4,5,57,4
V,4,6,867,5
V,4,7,788,6
V,4,8,1107,7
T,5,10000,10000
V,5,1,595
V,5,2,340,1
V,5,3,236,2
V,5,4,1002,3
V,5,5,2467,4
V,5,6,1390,5
V,5,7,279,6
V,5,8,1204,7
V,5,9,44,8
V,5,10,632,9
T,6,10000,10000
V,6,1,279
V,6,2,2156,1
V,6,3,589,2
V,6,4,733,3
V,6,5,445,4
V,6,6,863,5
V,6,7,495,6
T,7,10000,10000
V,7,1,1070
V,7,2,1226,1
V,7,3,912,2
V,7,4,80,3
V,7,5,1244,4
V,7,6,1740,5
V,7,7,49,6
V,7,8,1878,7
V,7,9,321,8
T,8,10000,10000
V,8,1,281
V,8,2,666,1
V,8,3,628,2
V,8,4,2002,3
V,8,5,207,4
V,8,6,121,5
V,8,7,1292,6
V,8,8,27,7
T,9,20000,20000
V,9,1,533
V,9,2,4428,1
V,9,3,7073,2
V,9,4,2802,3
V,9,5,2464,4
V,9,6,1078,5
T,10,20000,20000
V,10,1,1603
V,10,2,441,1
V,10,3,235,2
V,10,4,33,3
V,10,5,1148,4
V,10,6,344,5
V,10,7,169,6
V,10,8,413,7
V,10,9,207,8
T,11,20000,20000
V,11,1,337
V,11,2,2483,1
V,11,3,738,2
V,11,4,2241,3
V,11,5,3459,4
V,11,6,1187,5
V,11,7,10,6
V,11,8,523,7
T,12,20000,20000
V,12,1,863
V,12,2,3424,1
V,12,3,546,2
V,12,4,622,3
V,12,5,2551,4
V,12,6,4175,5
V,12,7,1166,6
V,12,8,1775,7
V,12,9,4306,8
T,13,20000,20000
V,13,1,148
V,13,2,129,1
V,13,3,431,2
V,13,4,635,3
V,13,5,144,4
V,13,6,389,5
V,13,7,742,6
V,13,8,149,7
V,13,9,857,8
T,14,20000,20000
V,14,1,1549
V,14,2,2693,1
V,14,3,465,2
V,14,4,908,3
V,14,5,2082,4
V,14,6,1047,5
V,14,7,2374,6
V,14,8,1224,7
T,15,20000,20000
V,15,1,120
V,15,2,287,1
V,15,3,1940,2
V,15,4,244,3
V,15,5,896,4
V,15,6,1360,5
V,15,7,58,6
V,15,8,152,7
V,15,9,192,8
T,16,50000,50000
V,16,1,7288
V,16,2,2,1
V,16,3,554,2
V,16,4,2184,3
V,16,5,2907,4
V,16,6,158,5
V,16,7,21807,6
T,17,50000,50000
V,17,1,1328
V,17,2,786,1
V,17,3,880,2
V,17,4,259,3
V,17,5,1240,4
V,17,6,898,5
V,17,7,3431,6
V,17,8,1806,7
V,17,9,13,8
V,17,10,83,9
T,18,100000,100000
V,18,1,13474
V,18,2,854,1
V,18,3,4445,2
V,18,4,2562,3
V,18,5,9243,4
V,18,6,8552,5
T,19,100000,100000
V,19,1,4657
V,19,2,881,1
V,19,3,409,2
V,19,4,1387,3
V,19,5,458,4
V,19,6,12217,5
V,19,7,379,6
V,19,8,20773,7
T,20,100000,100000
V,20,1,1073
V,20,2,4995,1
V,20,3,1633,2
V,20,4,888,3
V,20,5,7374,4
T,21,100000,100000
V,21,1,33003
V,21,2,3712,1
V,21,3,25130,2
V,21,4,29022,3
V,21,5,312,4
T,22,100000,100000
V,22,1,3617
V,22,2,2221,1
V,22,3,29815,2
V,22,4,2397,3
V,22,5,551,4
V,22,6,15946,5
V,22,7,2010,6
V,22,8,7004,7
V,22,9,6734,8
V,22,10,3759,9
T,23,200000,200000
V,23,1,6328
V,23,2,12411,1
V,23,3,5861,2
V,23,4,5016,3
V,23,5,4624,4
V,23,6,803,5
V,23,7,3116,6
V,23,8,5427,7
V,23,9,7459,8
T,24,200000,200000
V,24,1,64632
V,24,2,19179,1
V,24,3,14071,2
V,24,4,73306,3
V,24,5,24346,4
