T,1,2000,2000
V,1,1,10
V,1,2,5,1
V,1,3,46,2
V,1,4,38,3
V,1,5,79,4
V,1,6,12,5
V,1,7,3,6
V,1,8,17,7
V,1,9,14,8
T,2,5000,5000
V,2,1,26
V,2,2,5,1
V,2,3,6,2
V,2,4,13,3
V,2,5,18,4
V,2,6,15,5
V,2,7,11,6
V,2,8,7,7
V,2,9,2,8
T,3,5000,5000
V,3,1,64
V,3,2,152,1
V,3,3,16,2
V,3,4,56,3
V,3,5,35,4
T,4,10000,10000
V,4,1,5
V,4,2,7,1
V,4,3,18,2
V,4,4,7,3
V,4,5,98,4
V,4,6,14,5
V,4,7,23,6
V,4,8,12,7
V,4,9,56,8
V,4,10,22,9
T,5,10000,10000
V,5,1,151
V,5,2,418,1
V,5,3,134,2
V,5,4,28,3
V,5,5,96,4
V,5,6,118,5
V,5,7,465,6
V,5,8,51,7
T,6,10000,10000
V,6,1,428
V,6,2,152,1
V,6,3,928,2
V,6,4,2157,3
V,6,5,142,4
V,6,6,1332,5
V,6,7,501,6
V,6,8,16,7
T,7,10000,10000
V,7,1,76
V,7,2,23,1
V,7,3,172,2
V,7,4,39,3
V,7,5,195,4
V,7,6,30,5
V,7,7,106,6
V,7,8,8,7
T,8,10000,10000
V,8,1,32
V,8,2,711,1
V,8,3,495,2
V,8,4,150,3
V,8,5,818,4
V,8,6,1911,5
T,9,10000,10000
V,9,1,280
V,9,2,32,1
V,9,3,108,2
V,9,4,69,3
V,9,5,56,4
V,9,6,161,5
V,9,7,23,6
V,9,8,26,7
V,9,9,104,8
V,9,10,70,9
T,10,10000,10000
V,10,1,77
V,10,2,228,1
V,10,3,266,2
V,10,4,363,3
V,10,5,654,4
V,10,6,5,5
V,10,7,320,6
T,11,10000,10000
V,11,1,222
V,11,2,373,1
V,11,3,671,2
V,11,4,464,3
V,11,5,2784,4
T,12,10000,10000
V,12,1,74
V,12,2,46,1
V,12,3,17,2
V,12,4,112,3
V,12,5,40,4
T,13,10000,10000
V,13,1,129
V,13,2,193,1
V,13,3,109,2
V,13,4,27,3
V,13,5,131,4
T,14,20000,20000
V,14,1,894
V,14,2,2176,1
V,14,3,448,2
V,14,4,2240,3
V,14,5,2473,4
V,14,6,518,5
V,14,7,362,6
V,14,8,1314,7
V,14,9,823,8
V,14,10,187,9
T,15,20000,20000
V,15,1,27
V,15,2,6,1
V,15,3,17,2
V,15,4,15,3
V,15,5,35,4
V,15,6,6,5
V,15,7,49,6
V,15,8,13,7
T,16,20000,20000
V,16,1,224
V,16,2,150,1
V,16,3,15,2
V,16,4,208,3
V,16,5,78,4
V,16,6,61,5
V,16,7,52,6
V,16,8,109,7
V,16,9,5,8
V,16,10,64,9
T,17,20000,20000
V,17,1,34
V,17,2,132,1
V,17,3,391,2
V,17,4,10,3
V,17,5,155,4
V,17,6,354,5
V,17,7,9,6
T,18,20000,20000
V,18,1,464
V,18,2,312,1
V,18,3,87,2
V,18,4,129,3
V,18,5,369,4
V,18,6,158,5
V,18,7,114,6
V,18,8,2,7
V,18,9,10,8
T,19,20000,20000
V,19,1,49
V,19,2,54,1
V,19,3,98,2
V,19,4,65,3
V,19,5,56,4
V,19,6,54,5
V,19,7,6,6
V,19,8,82,7
V,19,9,23,8
T,20,20000,20000
V,20,1,2
V,20,2,1,1
V,20,3,7,2
V,20,4,3,3
V,20,5,17,4
V,20,6,12,5
V,20,7,1,6
T,21,20000,20000
V,21,1,675
V,21,2,793,1
V,21,3,322,2
V,21,4,513,3
V,21,5,5393,4
T,22,20000,20000
V,22,1,45
V,22,2,257,1
V,22,3,137,2
V,22,4,188,3
V,22,5,54,4
V,22,6,26,5
V,22,7,218,6
T,23,50000,50000
V,23,1,602
V,23,2,952,1
V,23,3,1288,2
V,23,4,762,3
V,23,5,898,4
V,23,6,530,5
V,23,7,576,6
V,23,8,971,7
V,23,9,693,8
V,23,10,1325,9
T,24,50000,50000
V,24,1,5864
V,24,2,581,1
V,24,3,9158,2
V,24,4,8927,3
V,24,5,12591,4
T,25,100000,100000
V,25,1,53
V,25,2,10,1
V,25,3,40,2
V,25,4,40,3
V,25,5,74,4
V,25,6,18,5
V,25,7,20,6
V,25,8,40,7
V,25,9,58,8
V,25,10,53,9
T,26,100000,100000
V,26,1,23901
V,26,2,23473,1
V,26,3,4816,2
V,26,4,5318,3
V,26,5,17987,4
T,27,100000,100000
V,27,1,1170
V,27,2,1305,1
V,27,3,1756,2
V,27,4,1026,3
V,27,5,314,4
V,27,6,1466,5
T,28,100000,100000
V,28,1,152
V,28,2,2297,1
V,28,3,1228,2
V,28,4,888,3
V,28,5,314,4
V,28,6,280,5
V,28,7,264,6
T,29,100000,100000
V,29,1,548
V,29,2,878,1
V,29,3,1529,2
V,29,4,282,3
V,29,5,1336,4
V,29,6,1945,5
V,29,7,2280,6
V,29,8,586,7
V,29,9,611,8
V,29,10,704,9
T,30,100000,100000
V,30,1,73
V,30,2,2806,1
V,30,3,1856,2
V,30,4,340,3
V,30,5,84,4
V,30,6,1069,5
V,30,7,687,6
T,31,100000,100000
V,31,1,520
V,31,2,762,1
V,31,3,986,2
V,31,4,2885,3
V,31,5,2021,4
V,31,6,3715,5
V,31,7,2374,6
V,31,8,1344,7
V,31,9,1463,8
T,32,100000,100000
V,32,1,90
V,32,2,135,1
V,32,3,405,2
V,32,4,308,3
V,32,5,91,4
V,32,6,218,5
V,32,7,44,6
V,32,8,506,7
