T,1,1000,1000
V,1,1,81
V,1,2,59,1
V,1,3,13,2
V,1,4,6,3
V,1,5,25,4
T,2,2000,2000
V,2,1,12
V,2,2,16,1
V,2,3,40,2
V,2,4,1,3
V,2,5,6,4
V,2,6,13,5
V,2,7,55,6
T,3,10000,10000
V,3,1,168
V,3,2,70,1
V,3,3,247,2
V,3,4,147,3
V,3,5,138,4
V,3,6,99,5
V,3,7,343,6
V,3,8,78,7
V,3,9,31,8
V,3,10,306,9
T,4,10000,10000
V,4,1,632
V,4,2,131,1
V,4,3,1190,2
V,4,4,351,3
V,4,5,425,4
T,5,10000,10000
V,5,1,793
V,5,2,163,1
V,5,3,3,2
V,5,4,2186,3
V,5,5,72,4
V,5,6,413,5
V,5,7,792,6
V,5,8,742,7
T,6,10000,10000
V,6,1,371
V,6,2,332,1
V,6,3,988,2
V,6,4,214,3
V,6,5,88,4
T,7,10000,10000
V,7,1,1395
V,7,2,2356,1
V,7,3,1122,2
V,7,4,1897,3
V,7,5,1428,4
T,8,20000,20000
V,8,1,38
V,8,2,74,1
V,8,3,1,2
V,8,4,59,3
V,8,5,2,4
V,8,6,7,5
V,8,7,49,6
V,8,8,50,7
V,8,9,10,8
T,9,20000,20000
V,9,1,384
V,9,2,555,1
V,9,3,802,2
V,9,4,111,3
V,9,5,162,4
V,9,6,355,5
V,9,7,1286,6
V,9,8,196,7
T,10,20000,20000
V,10,1,205
V,10,2,650,1
V,10,3,592,2
V,10,4,73,3
V,10,5,429,4
V,10,6,595,5
V,10,7,132,6
V,10,8,53,7
T,11,20000,20000
V,11,1,61
V,11,2,244,1
V,11,3,40,2
V,11,4,53,3
V,11,5,6,4
V,11,6,81,5
V,11,7,702,6
V,11,8,45,7
V,11,9,801,8
V,11,10,10,9
T,12,20000,20000
V,12,1,7
V,12,2,70,1
V,12,3,15,2
V,12,4,20,3
V,12,5,50,4
V,12,6,121,5
T,13,20000,20000
V,13,1,492
V,13,2,3,1
V,13,3,410,2
V,13,4,420,3
V,13,5,54,4
V,13,6,1139,5
V,13,7,1274,6
V,13,8,97,7
V,13,9,134,8
V,13,10,558,9
T,14,20000,20000
V,14,1,493
V,14,2,28,1
V,14,3,244,2
V,14,4,53,3
V,14,5,395,4
T,15,20000,20000
V,15,1,524
V,15,2,143,1
V,15,3,176,2
V,15,4,90,3
V,15,5,580,4
V,15,6,250,5
V,15,7,23,6
V,15,8,655,7
V,15,9,107,8
T,16,100000,100000
V,16,1,438
V,16,2,2674,1
V,16,3,1031,2
V,16,4,6300,3
V,16,5,51,4
