T,1,2000,2000
V,1,1,40
V,1,2,47,1
V,1,3,3,2
V,1,4,70,3
V,1,5,4,4
V,1,6,81,5
V,1,7,8,6
V,1,8,24,7
V,1,9,55,8
T,2,20000,20000
V,2,1,333
V,2,2,694,1
V,2,3,11,2
V,2,4,869,3
V,2,5,661,4
T,3,20000,20000
V,3,1,723
V,3,2,791,1
V,3,3,59,2
V,3,4,70,3
V,3,5,4362,4
V,3,6,164,5
V,3,7,8321,6
T,4,20000,20000
V,4,1,2339
V,4,2,107,1
V,4,3,557,2
V,4,4,1622,3
V,4,5,1371,4
V,4,6,828,5
V,4,7,315,6
V,4,8,4009,7
T,5,50000,50000
V,5,1,3286
V,5,2,19931,1
V,5,3,4070,2
V,5,4,3189,3
V,5,5,14914,4
T,6,100000,100000
V,6,1,503
V,6,2,319,1
V,6,3,295,2
V,6,4,133,3
V,6,5,1196,4
V,6,6,1718,5
V,6,7,700,6
V,6,8,328,7
V,6,9,97,8
T,7,100000,100000
V,7,1,1070
V,7,2,1993,1
V,7,3,362,2
V,7,4,4016,3
V,7,5,449,4
T,8,100000,100000
V,8,1,3355
V,8,2,3982,1
V,8,3,101,2
V,8,4,1648,3
V,8,5,2788,4
V,8,6,3631,5
V,8,7,2995,6
V,8,8,265,7
