T,1,1000,1000
V,1,1,8
V,1,2,8,1
V,1,3,6,2
V,1,4,9,3
V,1,5,2,4
V,1,6,10,5
V,1,7,20,6
V,1,8,1,7
T,2,2000,2000
V,2,1,31
V,2,2,11,1
V,2,3,36,2
V,2,4,8,3
V,2,5,63,4
T,3,10000,10000
V,3,1,323
V,3,2,54,1
V,3,3,86,2
V,3,4,100,3
V,3,5,79,4
T,4,20000,20000
V,4,1,110
V,4,2,52,1
V,4,3,366,2
V,4,4,61,3
V,4,5,42,4
V,4,6,129,5
V,4,7,54,6
V,4,8,87,7
V,4,9,121,8
V,4,10,148,9
T,5,20000,20000
V,5,1,340
V,5,2,134,1
V,5,3,1419,2
V,5,4,27,3
V,5,5,121,4
V,5,6,1679,5
V,5,7,89,6
V,5,8,114,7
V,5,9,722,8
V,5,10,483,9
T,6,20000,20000
V,6,1,1438
V,6,2,1443,1
V,6,3,769,2
V,6,4,4195,3
V,6,5,478,4
V,6,6,1608,5
V,6,7,299,6
T,7,100000,100000
V,7,1,133
V,7,2,579,1
V,7,3,3096,2
V,7,4,3452,3
V,7,5,1517,4
V,7,6,9160,5
V,7,7,4383,6
V,7,8,3055,7
T,8,200000,200000
V,8,1,26994
V,8,2,2024,1
V,8,3,13206,2
V,8,4,17062,3
V,8,5,5376,4
