T,1,1000,1000
V,1,1,20
V,1,2,1,1
V,1,3,56,2
V,1,4,44,3
V,1,5,38,4
V,1,6,16,5
V,1,7,8,6
V,1,8,10,7
V,1,9,6,8
T,2,2000,2000
V,2,1,41
V,2,2,1,1
V,2,3,21,2
V,2,4,17,3
V,2,5,8,4
V,2,6,69,5
V,2,7,1,6
V,2,8,29,7
V,2,9,16,8
V,2,10,37,9
T,3,20000,20000
V,3,1,6
V,3,2,126,1
V,3,3,232,2
V,3,4,51,3
V,3,5,32,4
V,3,6,19,5
V,3,7,391,6
V,3,8,103,7
V,3,9,1,8
T,4,20000,20000
V,4,1,51
V,4,2,63,1
V,4,3,20,2
V,4,4,156,3
V,4,5,35,4
V,4,6,139,5
V,4,7,103,6
V,4,8,141,7
V,4,9,120,8
