T,1,10000,10000
V,1,1,561
V,1,2,638,1
V,1,3,1015,2
V,1,4,727,3
V,1,5,145,4
V,1,6,30,5
V,1,7,213,6
T,2,10000,10000
V,2,1,151
V,2,2,91,1
V,2,3,147,2
V,2,4,306,3
V,2,5,440,4
V,2,6,532,5
T,3,20000,20000
V,3,1,340
V,3,2,4024,1
V,3,3,1187,2
V,3,4,2744,3
V,3,5,7676,4
T,4,20000,20000
V,4,1,103
V,4,2,452,1
V,4,3,205,2
V,4,4,366,3
V,4,5,197,4
V,4,6,70,5
V,4,7,147,6
V,4,8,1262,7
T,5,20000,20000
V,5,1,63
V,5,2,128,1
V,5,3,256,2
V,5,4,155,3
V,5,5,1125,4
V,5,6,153,5
V,5,7,49,6
T,6,20000,20000
V,6,1,181
V,6,2,561,1
V,6,3,536,2
V,6,4,314,3
V,6,5,84,4
V,6,6,574,5
V,6,7,238,6
V,6,8,200,7
V,6,9,211,8
V,6,10,460,9
T,7,20000,20000
V,7,1,485
V,7,2,6,1
V,7,3,121,2
V,7,4,405,3
V,7,5,295,4
T,8,20000,20000
V,8,1,151
V,8,2,395,1
V,8,3,569,2
V,8,4,94,3
V,8,5,10,4
V,8,6,285,5
V,8,7,595,6
V,8,8,18,7
V,8,9,713,8
T,9,20000,20000
V,9,1,18
V,9,2,99,1
V,9,3,30,2
V,9,4,191,3
V,9,5,297,4
T,10,20000,20000
V,10,1,12
V,10,2,16,1
V,10,3,15,2
V,10,4,3,3
V,10,5,2,4
V,10,6,9,5
T,11,20000,20000
V,11,1,69
V,11,2,59,1
V,11,3,512,2
V,11,4,99,3
V,11,5,464,4
V,11,6,367,5
V,11,7,433,6
V,11,8,586,7
T,12,50000,50000
V,12,1,590
V,12,2,305,1
V,12,3,484,2
V,12,4,162,3
V,12,5,426,4
V,12,6,97,5
V,12,7,167,6
V,12,8,298,7
V,12,9,11,8
V,12,10,271,9
T,13,50000,50000
V,13,1,1071
V,13,2,2492,1
V,13,3,434,2
V,13,4,3195,3
V,13,5,1025,4
V,13,6,826,5
V,13,7,188,6
T,14,100000,100000
V,14,1,18055
V,14,2,1220,1
V,14,3,32276,2
V,14,4,8640,3
V,14,5,10594,4
V,14,6,3705,5
T,15,100000,100000
V,15,1,33
V,15,2,2571,1
V,15,3,3023,2
V,15,4,1075,3
V,15,5,1670,4
V,15,6,445,5
V,15,7,1012,6
V,15,8,3157,7
T,16,100000,100000
V,16,1,75
V,16,2,137,1
V,16,3,115,2
V,16,4,283,3
V,16,5,4,4
V,16,6,19,5
V,16,7,114,6
V,16,8,279,7
V,16,9,285,8
V,16,10,26,9
