T,1,2000,2000
V,1,1,26
V,1,2,44,1
V,1,3,29,2
V,1,4,93,3
V,1,5,28,4
V,1,6,50,5
V,1,7,181,6
T,2,10000,10000
V,2,1,487
V,2,2,81,1
V,2,3,320,2
V,2,4,102,3
V,2,5,398,4
V,2,6,68,5
V,2,7,27,6
V,2,8,1049,7
V,2,9,160,8
T,3,20000,20000
V,3,1,493
V,3,2,230,1
V,3,3,64,2
V,3,4,305,3
V,3,5,260,4
V,3,6,818,5
V,3,7,241,6
V,3,8,248,7
V,3,9,476,8
T,4,20000,20000
V,4,1,203
V,4,2,169,1
V,4,3,205,2
V,4,4,90,3
V,4,5,358,4
V,4,6,102,5
V,4,7,260,6
V,4,8,139,7
V,4,9,30,8
T,5,20000,20000
V,5,1,4105
V,5,2,93,1
V,5,3,1799,2
V,5,4,2705,3
V,5,5,459,4
V,5,6,3164,5
V,5,7,102,6
T,6,20000,20000
V,6,1,171
V,6,2,121,1
V,6,3,60,2
V,6,4,268,3
V,6,5,26,4
V,6,6,73,5
V,6,7,69,6
V,6,8,18,7
V,6,9,9,8
T,7,20000,20000
V,7,1,1652
V,7,2,2622,1
V,7,3,1290,2
V,7,4,246,3
V,7,5,390,4
V,7,6,990,5
T,8,20000,20000
V,8,1,2
V,8,2,78,1
V,8,3,76,2
V,8,4,48,3
V,8,5,16,4
V,8,6,17,5
V,8,7,30,6
V,8,8,11,7
T,9,20000,20000
V,9,1,540
V,9,2,7,1
V,9,3,837,2
V,9,4,193,3
V,9,5,35,4
V,9,6,2713,5
V,9,7,529,6
T,10,20000,20000
V,10,1,1100
V,10,2,254,1
V,10,3,2035,2
V,10,4,1326,3
V,10,5,665,4
T,11,20000,20000
V,11,1,275
V,11,2,88,1
V,11,3,502,2
V,11,4,809,3
V,11,5,324,4
V,11,6,683,5
V,11,7,5,6
V,11,8,77,7
T,12,20000,20000
V,12,1,35
V,12,2,827,1
V,12,3,887,2
V,12,4,1487,3
V,12,5,134,4
V,12,6,146,5
V,12,7,440,6
V,12,8,248,7
V,12,9,590,8
T,13,20000,20000
V,13,1,1282
V,13,2,1167,1
V,13,3,7365,2
V,13,4,635,3
V,13,5,2016,4
V,13,6,1070,5
V,13,7,1485,6
V,13,8,757,7
V,13,9,207,8
V,13,10,1183,9
T,14,20000,20000
V,14,1,140
V,14,2,148,1
V,14,3,24,2
V,14,4,6,3
V,14,5,401,4
V,14,6,264,5
V,14,7,19,6
V,14,8,116,7
T,15,20000,20000
V,15,1,538
V,15,2,104,1
V,15,3,96,2
V,15,4,46,3
V,15,5,27,4
V,15,6,135,5
V,15,7,107,6
V,15,8,21,7
V,15,9,96,8
T,16,20000,20000
V,16,1,1375
V,16,2,1278,1
V,16,3,2928,2
V,16,4,2296,3
V,16,5,218,4
T,17,20000,20000
V,17,1,3320
V,17,2,128,1
V,17,3,576,2
V,17,4,2002,3
V,17,5,117,4
T,18,100000,100000
V,18,1,4134
V,18,2,1751,1
V,18,3,3778,2
V,18,4,3883,3
V,18,5,230,4
V,18,6,289,5
V,18,7,1715,6
V,18,8,1026,7
V,18,9,2571,8
T,19,100000,100000
V,19,1,7390
V,19,2,1189,1
V,19,3,3670,2
V,19,4,1545,3
V,19,5,6195,4
V,19,6,107,5
V,19,7,530,6
V,19,8,23328,7
T,20,100000,100000
V,20,1,544
V,20,2,218,1
V,20,3,1479,2
V,20,4,78,3
V,20,5,192,4
V,20,6,243,5
V,20,7,637,6
V,20,8,860,7
V,20,9,520,8
V,20,10,1000,9
T,21,100000,100000
V,21,1,3043
V,21,2,483,1
V,21,3,37722,2
V,21,4,19388,3
V,21,5,25833,4
T,22,100000,100000
V,22,1,606
V,22,2,2939,1
V,22,3,5240,2
V,22,4,3045,3
V,22,5,2470,4
V,22,6,1131,5
V,22,7,8756,6
V,22,8,7151,7
T,23,100000,100000
V,23,1,12668
V,23,2,10827,1
V,23,3,2830,2
V,23,4,4916,3
V,23,5,2893,4
V,23,6,4906,5
V,23,7,482,6
V,23,8,2892,7
T,24,100000,100000
V,24,1,6646
V,24,2,3025,1
V,24,3,2632,2
V,24,4,2650,3
V,24,5,17414,4
V,24,6,1415,5
V,24,7,11493,6
V,24,8,7053,7
V,24,9,5085,8
