T,1,1000,1000
V,1,1,293
V,1,2,8,1
V,1,3,25,2
V,1,4,8,3
V,1,5,86,4
V,1,6,17,5
V,1,7,74,6
V,1,8,247,7
V,1,9,83,8
T,2,1000,1000
V,2,1,18
V,2,2,5,1
V,2,3,2,2
V,2,4,16,3
V,2,5,3,4
V,2,6,2,5
V,2,7,2,6
T,3,5000,5000
V,3,1,69
V,3,2,30,1
V,3,3,41,2
V,3,4,23,3
V,3,5,14,4
V,3,6,29,5
V,3,7,44,6
V,3,8,25,7
V,3,9,60,8
V,3,10,20,9
T,4,10000,10000
V,4,1,119
V,4,2,41,1
V,4,3,302,2
V,4,4,29,3
V,4,5,3,4
V,4,6,260,5
V,4,7,127,6
V,4,8,679,7
V,4,9,621,8
V,4,10,1310,9
T,5,10000,10000
V,5,1,384
V,5,2,1319,1
V,5,3,111,2
V,5,4,67,3
V,5,5,732,4
T,6,10000,10000
V,6,1,830
V,6,2,51,1
V,6,3,114,2
V,6,4,232,3
V,6,5,312,4
V,6,6,1,5
V,6,7,99,6
V,6,8,124,7
T,7,10000,10000
V,7,1,8
V,7,2,19,1
V,7,3,193,2
V,7,4,16,3
V,7,5,134,4
V,7,6,60,5
V,7,7,94,6
V,7,8,151,7
V,7,9,11,8
V,7,10,137,9
T,8,10000,10000
V,8,1,362
V,8,2,27,1
V,8,3,399,2
V,8,4,695,3
V,8,5,995,4
V,8,6,260,5
V,8,7,319,6
T,9,10000,10000
V,9,1,236
V,9,2,6,1
V,9,3,101,2
V,9,4,168,3
V,9,5,67,4
V,9,6,197,5
V,9,7,172,6
V,9,8,341,7
T,10,10000,10000
V,10,1,427
V,10,2,646,1
V,10,3,168,2
V,10,4,172,3
V,10,5,1588,4
T,11,10000,10000
V,11,1,9
V,11,2,1,1
V,11,3,13,2
V,11,4,3,3
V,11,5,2,4
V,11,6,3,5
V,11,7,26,6
V,11,8,4,7
T,12,20000,20000
V,12,1,623
V,12,2,636,1
V,12,3,1443,2
V,12,4,1275,3
V,12,5,1037,4
V,12,6,101,5
V,12,7,317,6
V,12,8,3446,7
T,13,20000,20000
V,13,1,737
V,13,2,53,1
V,13,3,135,2
V,13,4,26,3
V,13,5,637,4
V,13,6,56,5
V,13,7,2,6
V,13,8,145,7
V,13,9,30,8
T,14,20000,20000
V,14,1,21
V,14,2,94,1
V,14,3,192,2
V,14,4,1,3
V,14,5,69,4
V,14,6,2,5
V,14,7,130,6
V,14,8,4,7
T,15,20000,20000
V,15,1,136
V,15,2,264,1
V,15,3,315,2
V,15,4,282,3
V,15,5,73,4
T,16,20000,20000
V,16,1,1058
V,16,2,779,1
V,16,3,176,2
V,16,4,1548,3
V,16,5,4082,4
V,16,6,169,5
V,16,7,3896,6
V,16,8,2001,7
T,17,20000,20000
V,17,1,1176
V,17,2,598,1
V,17,3,14,2
V,17,4,352,3
V,17,5,2977,4
V,17,6,737,5
V,17,7,866,6
V,17,8,2677,7
V,17,9,1988,8
V,17,10,521,9
T,18,50000,50000
V,18,1,170
V,18,2,849,1
V,18,3,25,2
V,18,4,4164,3
V,18,5,1557,4
V,18,6,2678,5
T,19,100000,100000
V,19,1,2199
V,19,2,154,1
V,19,3,4381,2
V,19,4,1542,3
V,19,5,4929,4
V,19,6,653,5
V,19,7,1159,6
V,19,8,2869,7
V,19,9,1536,8
V,19,10,3847,9
T,20,100000,100000
V,20,1,1578
V,20,2,1701,1
V,20,3,1091,2
V,20,4,150,3
V,20,5,3978,4
V,20,6,602,5
V,20,7,3027,6
T,21,100000,100000
V,21,1,4748
V,21,2,9049,1
V,21,3,1673,2
V,21,4,5904,3
V,21,5,1604,4
V,21,6,3572,5
T,22,100000,100000
V,22,1,1439
V,22,2,2129,1
V,22,3,2822,2
V,22,4,5809,3
V,22,5,3613,4
V,22,6,1936,5
V,22,7,4794,6
V,22,8,2438,7
V,22,9,1546,8
T,23,100000,100000
V,23,1,2446
V,23,2,5120,1
V,23,3,11900,2
V,23,4,19657,3
V,23,5,1392,4
V,23,6,3195,5
V,23,7,11650,6
V,23,8,603,7
V,23,9,2908,8
V,23,10,76,9
T,24,100000,100000
V,24,1,3771
V,24,2,1580,1
V,24,3,1971,2
V,24,4,2691,3
V,24,5,1890,4
V,24,6,1796,5
V,24,7,12867,6
V,24,8,756,7
V,24,9,1336,8
